,peak_monthly_total_volume
0,11.455280345732508
1,12.46403078058426
2,10.501223151680424
3,13.387369467634862
4,10.130604799409404
5,11.021098215198545
6,9.317675601171615
7,11.030920096603243
8,11.569022433335647
9,9.802055344242618
10,9.618011736930969
11,12.020292144753242
