,0,1,2,3,4
0,3.4528269528792697,3.4528269528792697,2.3791886985678796,4.333850441974643,2.244581153031402
1,3.4215904210159875,3.4215904210159875,2.4134273170923795,3.6393864276712926,2.0671792932163675
2,3.6447982805294177,3.6447982805294177,3.0063411583072432,3.4416083108821662,2.6352143608159304
3,4.529861605390479,4.529861605390479,2.837566774431828,4.213742947103722,2.2240595389307933
4,2.872955613706212,2.872955613706212,3.098369107237632,2.894517020908097,2.4894605356418205
5,3.5816033162650665,3.5816033162650665,3.6445921257670224,2.1547775967301637,2.629544083456539
6,3.2268614872209,3.2268614872209,3.697147560593767,2.606952318084856,2.9308415018789185
7,3.1246123426136894,3.1246123426136894,3.9285353284057947,2.951438392321139,2.7097269291921484
8,3.46151577602633,3.46151577602633,3.212554352626733,3.4985515811565393,2.090230533011073
9,4.509424834442746,4.509424834442746,2.9755483646766656,3.7463020845937978,2.2530040293349742
10,2.5024398253805273,2.502439825380527,2.5200561292726102,4.2252592601178005,1.879512227028198
11,3.1107465126472436,3.1107465126472436,2.8814561618756525,4.116021907477394,1.9354920156662323
