,objective_terms
pv_investment_cost,54849.97525019318
house_hp_investment_cost,0.0
power_market_cost,161249.62129237654
volume_tax_cost,26328.906969193107
grid_volume_tariff,51061.70011780895
aggregated_capacity_export_tariff,0.0
capacity_tariff,44388.351607888624
stes_investment_cost,0.0
hp_investment_cost,0.0
