,active_line_losses_mw,reactive_line_losses_mvar,apparent_line_losses_mva
7072,0.02934058944585217,-0.4300949426546952,0.46039185893850737
7073,0.031011379396313488,-0.4286311127910212,0.461542485861519
7074,0.033228640696194106,-0.4266805140845676,0.46284383442364097
7075,0.03126191473097861,-0.4283681313232022,0.46168994174544303
7076,0.03105972558847787,-0.4285523256739097,0.46148388883280483
7077,0.02809688443702897,-0.43107760208880636,0.45972580113272327
7078,0.02140262681091357,-0.43695969438717747,0.4561328307643336
7079,0.018526254708987222,-0.4395313441731113,0.4550518139478511
7080,0.015190445483518486,-0.4426200016752199,0.45363837707137494
7081,0.013748767087666482,-0.4439608798059768,0.45337842956381247
7082,0.013159233001333648,-0.4445213376130054,0.45311611015537173
7083,0.012595576464808682,-0.4450694212993364,0.4529755140184762
7084,0.015402154425984568,-0.4424267907964815,0.45374314943854827
7085,0.019576549213217512,-0.4385983903852675,0.4554091035516832
7086,0.025717177563794064,-0.43318084461759765,0.4583192717153184
7087,0.02662499577993646,-0.4324479301652504,0.4589350301887138
7088,0.026039738571381997,-0.4330372523954154,0.45873471845585506
7089,0.026828922291737355,-0.43240938106548077,0.45919243784782543
7090,0.02369164875346904,-0.4350905105689674,0.4572506944933726
7091,0.02079320853254043,-0.43760279961666393,0.45581569317187903
7092,0.020391242647475875,-0.437969219035293,0.455648631420541
7093,0.022274188340763723,-0.4362992773579521,0.45663026722574684
7094,0.023499312481327063,-0.4352237896045327,0.457212407750311
7095,0.027622738026264745,-0.431586351687596,0.45940807055935495
7096,0.028073981675721487,-0.43113385955751904,0.4598552536881255
7097,0.030625188013951345,-0.4289111218408919,0.4614303308839555
7098,0.028954848063900796,-0.43032313279751955,0.46018052935425013
7099,0.030360260513288415,-0.42913816245557423,0.4609102243517189
7100,0.031578945417351144,-0.4281345303881636,0.46189530608273754
7101,0.02829051500445986,-0.4309685709381008,0.4599807898914531
7102,0.02388842236019375,-0.434797536008695,0.45739246027443453
7103,0.019606525744819255,-0.43860581178084873,0.45539415919443454
7104,0.016185712016567502,-0.4417074870506148,0.4539206964315573
7105,0.016403929916072955,-0.4415198079802943,0.4541129069458055
7106,0.016536541610645474,-0.44138027973498384,0.45418718647460793
7107,0.015995535742425786,-0.4418690855896732,0.4538393683617837
7108,0.01763063506180444,-0.4403636518950093,0.45449383864068577
