,peak_aggregated_monthly_export_volume
0,22.323704252906683
1,151.00581225355924
2,345.41930692523
3,359.73686631907026
4,389.50054450059173
5,408.530937591679
6,421.8691514095047
7,366.9156503177652
8,393.8743652273309
9,327.4970434088519
10,175.18068267885016
11,0.0
