,peak_aggregated_monthly_export_volume
0,0.0
1,0.0
2,27.234952450695364
3,49.45955627447696
4,82.81284039767236
5,97.87608495283905
6,110.50119767096838
7,80.71799201872403
8,89.62791487798553
9,50.10321812008903
10,0.0
11,0.0
