,objective_terms
power_market_cost,49199.33250894252
volume_tax_cost,8036.496768555299
grid_volume_tariff,16008.035678132954
connection_cost,9958.716
individual_capacity_tariff,0.0
aggregated_capacity_export_tariff,2592.2812724315827
aggregated_capacity_import_tariff,8213.730407232439
pv_investment_cost,7659.716541910914
house_hp_investment_cost,10865.655155101394
stes_investment_cost,0.0
hp_investment_cost,0.0
