,house_hp_installed_capacity
0,1.6072220020721817
1,2.9490088108684134
2,1.6072220020721817
3,3.369506371713379
4,2.014419887040215
5,2.1143213233800444
6,4.393045202611527
7,5.187126901063374
8,8.859733516574096
9,4.589082817381861
10,1.7102173558969966
11,1.5007663196327805
12,7.375638707953565
13,0.8997197917718966
14,2.1460053632772556
15,4.589082817381861
16,7.375638707953565
17,0.9240055989523894
18,0.9240055989523894
19,5.187126901063374
20,5.955838487761776
21,2.9234931245542812
22,1.8063764999320533
23,3.3130155086537383
24,5.263763341962721
25,2.007717807477224
26,1.4332318448922625
27,2.007717807477224
28,1.32872737387259
29,0.912688960201527
30,0.9573275681376758
31,3.345684030020811
32,6.552849991876128
33,0.3694941380483154
34,0.3694941380483154
35,4.9161934495467525
36,4.138480860174693
37,2.014419887040215
38,2.1460053632772556
39,4.138480860174693
40,1.1280246395092175
41,1.8854021866225525
42,1.441882713381488
43,1.1568803437402158
44,1.7852881673387007
45,0.912688960201527
46,8.859733516574096
47,3.3130155086537383
48,4.6472903477234455
49,1.8854021866225525
50,1.2893293048464758
51,2.9490088108684134
52,1.3104310596628725
53,2.9234931245542812
54,6.990770646133852
55,0.5999295170370211
56,1.805437674785719
57,3.1137988922700517
58,1.4332318448922625
59,1.8063764999320533
60,3.345684030020811
61,2.007717807477224
62,2.0794291488840027
63,2.0794291488840027
64,2.014419887040215
65,0.3694941380483154
66,2.9585665429062864
67,1.5628712183823361
68,2.352777623197016
69,1.339268422975298
70,2.000237690805807
71,2.3896875842574743
72,6.24609223172175
73,1.2893293048464758
74,2.207836256202647
75,0.9580340562796282
76,2.9490088108684134
77,2.529079801299949
78,1.7535321150008596
79,3.6252378408649064
80,2.0794291488840027
81,3.2482534374510084
82,2.1960268899324253
83,3.2670816670897502
84,0.6583193052080033
85,4.138480860174693
86,2.007717807477224
87,2.9490088108684134
88,1.6426024835361657
89,1.1247872331857414
90,2.0794291488840027
91,6.990770646133852
92,0.6583193052080033
93,1.1787256179425614
94,2.105687068338894
95,1.1280246395092175
96,3.1137988922700517
97,2.9813565146286742
98,0.6583193052080033
99,4.9161934495467525
