,peak_aggregated_monthly_import_volume
0,220.46264037775128
1,213.61581403729605
2,159.13418916032595
3,143.95405410310298
4,128.49456686854197
5,115.00731552890443
6,98.62751152339347
7,115.34678456941911
8,158.71527174009398
9,134.70910839363083
10,168.70370234634777
11,207.38433920449992
