,pv_installed_capacity
0,0.6786556649605178
1,0.2752484791259275
2,0.6786556649605178
3,1.03871886606925
4,0.22746175949792272
5,0.31728561806689654
6,0.4929104426748325
7,0.7847896111257109
8,2.471485123521341
9,1.4254523871994462
10,0.4348652158935252
11,0.10378706485926499
12,2.005159115026321
13,0.2194679860782768
14,0.43279086166512526
15,1.4254523871994462
16,2.005159115026321
17,0.29518013351264183
18,0.29518013351264183
19,0.7847896111257109
20,2.0635400550870187
21,0.9958601122892073
22,0.6340235436807615
23,0.38604988933924617
24,1.9695126157560385
25,0.238997319238628
26,0.6404776747049216
27,0.238997319238628
28,0.24609612387405586
29,0.035508502892712464
30,0.1902975880379615
31,1.0199626377741984
32,1.0730850181800178
33,0.11290952384799663
34,0.11290952384799663
35,1.3611567457878149
36,0.4906521073079104
37,0.22746175949792272
38,0.43279086166512526
39,0.4906521073079104
40,0.45524446298173754
41,0.6771449843144419
42,0.5202311670309632
43,0.2016783955819161
44,0.6197053919163963
45,0.035508502892712464
46,2.4657001972598764
47,0.38604988933924617
48,1.8136054913057498
49,0.6771449843144419
50,0.3036109392739206
51,0.2752484791259275
52,0.28630290971721356
53,0.9958601122892073
54,1.7320484092741482
55,0.3235489163228843
56,0.15246394026806354
57,1.2621193058276385
58,0.6404776747049216
59,0.6340235436807615
60,1.0199626377741984
61,0.238997319238628
62,0.49895877459025606
63,0.49895877459025606
64,0.22746175949792272
65,0.11290952384799663
66,0.3342818155077027
67,0.03433996607061473
68,0.2132367012637705
69,0.41888052066598486
70,0.6653548949528537
71,0.28633072022534345
72,1.5199666400103713
73,0.3036109392739206
74,0.43747592938831115
75,0.06787265456483721
76,0.2752484791259275
77,0.5078973727185152
78,0.7535556963928575
79,1.2719369225164954
80,0.49895877459025606
81,0.510254319067766
82,0.71280276816609
83,0.9919332378373276
84,0.23234368884512235
85,0.4906521073079104
86,0.238997319238628
87,0.2752484791259275
88,0.1215504457029373
89,0.19827346880176083
90,0.49895877459025606
91,1.7320484092741482
92,0.23234368884512235
93,0.3094301861436207
94,0.2120350138943995
95,0.45524446298173754
96,1.2621193058276385
97,0.6977242324089764
98,0.23234368884512235
99,1.3611567457878149
