,peak_monthly_total_volume
0,227.73812006337775
1,219.53552352664207
2,160.42378801935442
3,145.1408356548629
4,131.08974466405374
5,120.43750539674424
6,98.62751152339347
7,115.34678456941911
8,158.71527174009398
9,135.05470007448824
10,172.35234931409192
11,212.17225718461054
