,house_hp_installed_capacity
0,1.4557689214253033
1,2.7311047965814814
2,1.4557689214253033
3,3.182936421479967
4,1.8608874193267988
5,2.019157477589385
6,4.064070125827434
7,4.787895806480352
8,8.367180269706632
9,4.309526999047315
10,1.5753500073931819
11,1.3832726967586901
12,6.758211294226812
13,0.796849367947553
14,2.066389431688236
15,4.309526999047315
16,6.758211294226812
17,0.8445227247666596
18,0.8445227247666596
19,4.787895806480352
20,5.630582246618946
21,2.7902570819300037
22,1.6838343456260243
23,3.1143790048530477
24,4.75707568368459
25,1.875935634097581
26,1.3750405155474208
27,1.875935634097581
28,1.2341524889369127
29,0.8071162749276846
30,0.9235845159759604
31,3.173053221857768
32,6.352414636985293
33,0.31306048428768213
34,0.31306048428768213
35,4.5993565592576955
36,3.820660338848323
37,1.8608874193267988
38,2.066389431688236
39,3.820660338848323
40,1.0497672283220953
41,1.757351329498317
42,1.3456136589198922
43,1.0345763168885131
44,1.6762413925239936
45,0.8071162749276846
46,8.367180269706632
47,3.1143790048530477
48,4.392159953655505
49,1.757351329498317
50,1.0857462372582851
51,2.7311047965814814
52,1.2071601590719652
53,2.7902570819300037
54,6.3873490897935
55,0.5324174591927501
56,1.6559437692836168
57,2.8990829947546835
58,1.3750405155474208
59,1.6838343456260243
60,3.173053221857768
61,1.875935634097581
62,1.920231135887544
63,1.920231135887544
64,1.8608874193267988
65,0.31306048428768213
66,2.812200562701735
67,1.3941570304415196
68,2.206538948730537
69,1.2334426736623971
70,1.8687175777541645
71,2.1830333885045063
72,5.871361936417429
73,1.0857462372582851
74,1.98562966520403
75,0.7111929327805702
76,2.7311047965814814
77,2.3581930397683575
78,1.5918257357352168
79,3.4462021560137233
80,1.920231135887544
81,2.890822458715026
82,2.0365613711159174
83,3.128532455976926
84,0.5538122640574704
85,3.820660338848323
86,1.875935634097581
87,2.7311047965814814
88,1.4733402579693724
89,1.0258385837848538
90,1.920231135887544
91,6.3873490897935
92,0.5538122640574704
93,1.1020890680758932
94,1.9410083054087406
95,1.0497672283220953
96,2.8990829947546835
97,2.8169580068392257
98,0.5538122640574704
99,4.5993565592576955
