,peak_aggregated_monthly_import_volume
0,131.616379177054
1,146.5016598069479
2,141.3177704678367
3,116.43209842289173
4,114.90837737596662
5,105.45732666229885
6,89.89434026204336
7,102.53883973028596
8,146.53731506666077
9,100.80474039488165
10,93.49138404466852
11,101.36327847018315
