,resistive_heating,stes_heating,stes_hp_direct
0,0.0,0.0,160.7649968832634
1,0.0,0.0,155.47191785999618
2,0.0,0.0,157.38316212184804
3,0.0,0.0,153.86252810082897
4,0.0,0.0,150.91935475567777
5,0.0,0.0,151.58789789352073
6,0.0,0.0,141.8532205019635
7,0.0,0.0,142.5151381813015
8,0.0,141.3320739458016,0.0
9,0.0,132.5808488436582,0.0
10,0.0,134.69155052908778,0.0
11,0.0,0.0,154.73477799392757
12,0.0,0.0,156.88052500765986
13,0.0,0.0,170.08908002874807
14,0.0,0.0,165.5534117732503
15,0.0,0.0,146.17627674520972
16,0.0,0.0,142.91637987324117
17,0.0,159.5638031411896,0.0
18,0.0,163.9284448623032,0.0
19,0.0,158.5051598144525,0.0
20,0.0,153.5547682244571,0.0
21,0.0,156.7020489025557,0.0
22,0.0,0.0,146.9258086015278
23,0.0,0.0,141.1694651205744
24,0.0,0.0,139.23232427187776
25,0.0,0.0,137.98098801939597
26,0.0,0.0,134.21194699907372
27,0.0,0.0,137.3324233234587
28,0.0,0.0,133.2925634492493
29,0.0,0.0,149.0075164962486
30,0.0,0.0,144.3802676317332
31,0.0,0.0,140.35519107105478
32,0.0,0.0,125.55230310405086
33,0.0,0.0,137.313404100539
34,0.0,0.0,146.5976110259744
35,0.0,0.0,150.4864989955519
36,0.0,0.0,152.90560660779371
37,0.0,0.0,157.51009832426578
38,0.0,0.0,143.61352375535458
39,0.0,0.0,148.40778696705084
40,0.0,0.0,151.37612454333527
41,0.0,0.0,148.57894770661363
42,0.0,159.2593085863017,0.0
43,0.0,161.37253076778944,0.0
44,0.0,153.99422414321128,0.0
45,0.0,0.0,148.49091280702706
46,0.0,0.0,142.24651906203428
47,0.0,0.0,157.29026537752037
48,0.0,0.0,139.34170464351698
49,0.0,0.0,137.68745591172674
50,0.0,0.0,148.8771655610484
51,0.0,0.0,142.767061077632
52,0.0,0.0,137.59708667539297
53,0.0,0.0,151.51485513005298
54,0.0,0.0,151.9150522841687
55,0.0,0.0,146.47607152827132
56,0.0,0.0,138.35675292475662
57,0.0,0.0,142.98684050875198
58,0.0,0.0,154.32675384039993
59,0.0,0.0,158.22757237723616
60,0.0,0.0,159.91141265343293
61,0.0,0.0,152.2944227460984
62,0.0,0.0,151.14391162578474
63,0.0,0.0,165.53197045549337
64,0.0,54.93184939181901,135.75224589530546
65,0.0,85.22503035048884,110.32306081921801
66,0.0,208.15846305156526,0.0
67,0.0,193.73014134638382,0.0
68,0.0,200.54607777123493,0.0
69,0.0,79.41557696347441,120.62912199296558
70,0.0,59.1348751147762,140.26811336231543
71,0.0,6.29852390579123,195.91946747337514
72,0.0,0.0,185.15023264648386
73,0.0,0.0,175.36285132944704
74,0.0,0.0,169.45520580589337
75,0.0,0.0,169.03668516955267
76,0.0,0.0,169.8347627034324
77,0.0,0.0,180.1573288379252
78,0.0,0.0,171.5514531816001
79,0.0,186.94631703005876,0.0
80,0.0,200.75823870207356,0.0
81,0.0,198.45999017050477,5.069876236024356
82,0.0,198.37496803370004,0.0
83,0.0,2.510324601816785,203.22506409391
84,0.0,0.0,213.56852557536178
85,0.0,0.0,201.9355858417183
86,0.0,0.0,194.13848656723906
87,0.0,15.120330548938139,177.38540112194096
88,0.0,38.65784286268172,150.847207675953
89,0.0,199.59917923957786,0.0
90,0.0,201.6055710612768,0.0
91,0.0,202.94073883383896,0.0
92,0.0,190.12316347726792,0.0
93,0.0,196.23323483027255,0.0
94,0.0,51.25037868765758,142.0140890101393
95,0.0,0.0,191.09033103646385
96,0.0,0.0,197.08668944234597
97,0.0,0.0,190.48773134950738
98,0.0,0.0,189.7567809937524
99,0.0,0.0,185.12141656209874
100,0.0,0.0,181.81774668801327
101,0.0,0.0,191.72524131982811
102,0.0,0.0,181.44177616681614
103,0.0,213.55850209766322,0.0
104,0.0,213.17037900576423,0.0
105,0.0,199.14941309096127,32.33554161853206
106,0.0,71.25083338572415,168.06443719787546
107,0.0,0.0,232.7335978834537
108,0.0,0.0,209.7783642739281
109,0.0,0.0,215.64119881700458
110,0.0,0.0,209.06381559943318
111,0.0,9.64054289284423,190.94162303076976
112,0.0,46.917554249632076,158.8711600183016
113,0.0,220.1875064263424,0.0
114,0.0,222.12635910231134,0.0
115,0.0,218.912224165318,0.0
116,0.0,223.192235257466,0.0
117,0.0,230.31516697380303,0.0
118,0.0,71.57890082742699,151.42296284476475
119,0.0,47.22848036275429,192.48539270084444
120,0.0,0.0,230.0510379670458
121,0.0,0.0,220.90814912781195
122,0.0,0.0,219.0488601620159
123,0.0,0.0,221.33061854010663
124,0.0,0.0,213.57271106137418
125,0.0,0.0,227.2196832482339
126,0.0,0.0,221.21487668366842
127,0.0,8.03921873483865,231.18240661946214
128,0.0,31.064656655638164,206.07280061410427
129,0.0,0.0,253.72818524028378
130,0.0,29.768394396620828,218.3372236676565
131,0.0,39.955071256274515,217.91733110734972
132,0.0,52.97230403537533,211.9957695269851
133,0.0,28.0477371446162,220.34514604161524
134,0.0,47.090816517440835,205.65911314112404
135,0.0,65.79898030417738,174.96878378859256
136,0.0,68.09888043659278,156.4875333902342
137,0.0,107.63204436225813,124.6313538295877
138,0.0,134.97567321729446,106.82009780474314
139,0.0,134.28915588264937,105.88350077204151
140,0.0,92.92601867907268,126.3569803029993
141,0.0,83.22639702042311,140.57351354765643
142,0.0,75.74187810595511,150.39182288152966
143,0.0,13.445430114006637,208.8279019734683
144,0.0,0.0,247.50194269677243
145,0.0,0.0,226.4398248408253
146,0.0,0.0,202.09942384418062
