,peak_aggregated_monthly_export_volume
0,0.0
1,0.0
2,60.01116577241233
3,80.50205834680517
4,108.64158291682963
5,125.62484520184191
6,143.0573206318174
7,98.71865949340659
8,119.15679606179293
9,61.46864864164618
10,0.0
11,0.0
