,stes_discharge_qc
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,141.14363118054052
9,132.40407437853332
10,134.511961795049
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,159.351051403668
18,163.7098736024868
19,158.29381960136658
20,153.35002853349116
21,156.4931128373523
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,159.04696284151996
43,161.1573673934324
44,153.78889851102034
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,54.85860692596325
65,85.11139697668818
66,207.8809184341632
67,193.47183449125532
68,200.2786830008733
69,79.3096895275231
70,59.056028614623166
71,6.290125873916842
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,186.69705527401868
80,200.4905610504708
81,198.19537685027743
82,198.11046807632178
83,2.506977502347696
84,0.0
85,0.0
86,0.0
87,15.100170108206221
88,38.60629907219815
89,199.33304700059176
90,201.33676363319512
91,202.67015118206052
92,189.8696659259649
93,195.97159051716554
94,51.18204484940737
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,213.27375742819967
104,212.88615183375654
105,198.88388054017332
106,71.15583227454319
107,0.0
108,0.0
109,0.0
110,0.0
111,9.627688835653771
112,46.854997510632565
113,219.89392308444062
114,221.83019062350826
115,218.62034119976425
116,222.89464561045605
117,230.00808008450463
118,71.48346229299042
119,47.165509055603955
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,8.028499776525532
128,31.023237113430646
129,0.0
130,29.728703204092
131,39.90179782793282
132,52.9016742966615
133,28.010340161756712
134,47.02802876208425
135,65.71124833043848
136,68.00808192934399
137,107.48853496977512
138,134.79570565300475
139,134.11010367480583
140,92.80211732083393
141,83.11542849106254
142,75.64088893514717
143,13.427502873854628
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,34.668740351759084
153,22.10510345374361
154,19.9776066956074
155,52.639155010039886
156,61.39898249180474
157,55.26954218465385
158,36.366730083344166
159,64.82459038138998
160,106.1611071187241
161,98.26130112019713
162,136.0418318182608
163,142.1701149679167
164,125.16826291783951
165,114.17656753557031
166,101.4367053200029
167,22.34105635848073
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,223.10672150969276
177,233.17464085820092
178,235.95036659026982
179,18.958652408089872
180,0.0
181,0.0
182,0.0
183,40.773485019906765
184,77.02460691863837
185,205.20937559137835
186,219.0755736623433
187,217.15541914528512
188,212.37139486197373
189,209.74419169596172
190,38.21688622143897
191,11.166106186359151
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,74.34729389491666
205,123.27449560494065
206,84.26247062551793
207,62.19880936269696
208,42.14005201372645
209,86.84829240793643
210,215.1203945266954
211,228.7167869592186
212,84.88691042523357
213,54.36286996939523
214,11.85014113095672
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,18.634745108969035
227,0.0
228,0.0
229,0.0
230,27.63419347233249
231,54.173923276567834
232,81.7931739088154
233,155.60469869265918
234,250.5940133740431
235,238.76472639498095
236,159.41397751566657
237,134.03937648103945
238,125.6184019259523
239,66.06017383999637
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,5.98748334879691
248,229.05280611441228
249,232.17988828769137
250,48.145333923296945
251,58.99648649950389
252,38.189291660389074
253,0.0
254,19.650356975928094
255,86.18942835248872
256,83.01385613609452
257,216.47321882189442
258,225.61579900127975
259,209.18648493441083
260,200.89774814853507
261,214.5926821217352
262,46.36869372553631
263,21.237100775289584
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,235.7622216039352
273,227.8614441652717
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,51.84140118296601
280,65.03464995181093
281,218.6747522546853
282,228.97248027168447
283,226.36855684388905
284,223.71975981888895
285,101.6901809121635
286,71.7560802999643
287,14.599814442398037
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,65.66668444546266
297,56.85821630611668
298,31.342771347684145
299,59.223679634358064
300,43.06409446372874
301,37.30835553655611
302,35.6313291184665
303,53.54607780736272
304,68.36132816718832
305,127.65970334190227
306,127.23874433267207
307,149.44150840494288
308,137.25530009579015
309,95.8251863129892
310,97.8763133921837
311,73.29045515472977
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,40.190072048280044
321,33.307633943360536
322,56.31911189782156
323,36.76073732896715
324,42.233990319766946
325,23.22950113991459
326,30.791833102922958
327,47.16381951201161
328,63.37978242665176
329,103.13393950708841
330,104.08934389557665
331,135.11738957441202
332,125.20732201909763
333,91.78075691507543
334,80.47086122287394
335,57.81217375043708
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,257.75679049749175
344,257.33249863438994
345,264.84429145293745
346,270.0925175835958
347,73.59117656967098
348,41.27164119649049
349,34.44606977055193
350,22.174701213424505
351,46.402409730951
352,220.14465261364538
353,230.36536361712263
354,237.6781063677205
355,254.82631462576387
356,244.2256716499288
357,244.34663839812126
358,64.11400805816315
359,13.94806403422959
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,211.6753553479024
369,219.2468103304874
370,64.32987471968951
371,64.31329209486816
372,13.25900788584957
373,79.61442688974822
374,54.98906535620333
375,41.42214715199514
376,69.01761039388529
377,235.1701451923597
378,237.73353392167945
379,247.37320153385997
380,249.81933357116424
381,241.0028126861806
382,55.5111768903834
383,15.412951963828588
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,207.9761652418144
393,218.8674893465527
394,47.84329013881304
395,0.0
396,0.0
397,0.0
398,20.098378579571865
399,92.54575500903752
400,92.31105592719614
401,251.38222451967846
402,261.28318439255594
403,267.7947432457788
404,246.67897048026035
405,251.69061820368185
406,118.55025899030194
407,63.25563638582932
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,234.14693427450774
416,243.98994713920064
417,242.0715361237952
418,253.01969549897123
419,0.0
420,0.0
421,0.0
422,0.0
423,69.72048749967131
