,peak_monthly_total_volume
0,190.31464620577356
1,191.22010599923044
2,320.7433333333333
3,295.07433333333347
4,242.25921209508144
5,211.90933333333325
6,194.97433333333328
7,198.71633333333327
8,213.8953333333333
9,279.30433333333343
10,97.47941064298298
11,100.22050547880761
