,pv_installed_capacity
0,1.2984205457856823
1,1.5941008092221483
2,1.2984205457856823
3,2.638185490573103
4,0.7007302478434
5,1.1694862721231782
6,0.7859116366643877
7,1.316077410466329
8,3.051833320167785
9,2.303547073858319
10,1.0934904220627897
11,0.7907374676860894
12,3.06043959108656
13,0.7229098571065288
14,0.992288939295777
15,2.303547073858319
16,3.06043959108656
17,0.6062537715107893
18,0.6062537715107893
19,1.316077410466329
20,2.4601778306991684
21,1.7016297222960468
22,1.228486928229002
23,1.476411111837401
24,2.860305010019478
25,0.7466815131738248
26,0.7890224117890854
27,0.7466815131738248
28,0.7741172886528231
29,0.20042749825485967
30,0.24772919890190132
31,2.105339840042646
32,1.4033580138683917
33,0.2743750792571039
34,0.2743750792571039
35,1.9011022558689685
36,0.9011997504394931
37,0.7007302478434
38,0.992288939295777
39,0.9011997504394931
40,0.727744691311981
41,1.0458658234234361
42,1.030293022256123
43,0.4884380652172305
44,2.6496292047199432
45,0.20042749825485967
46,3.051833320167785
47,1.476411111837401
48,2.270523263371935
49,1.0458658234234361
50,1.1274581717489067
51,1.5941008092221483
52,0.6452411033531033
53,1.7016297222960468
54,3.7575111847743186
55,0.500678570642243
56,0.7551248407442236
57,2.0948050881498994
58,0.7890224117890854
59,1.228486928229002
60,2.105339840042646
61,0.7466815131738248
62,1.0199423706044715
63,1.0199423706044715
64,0.7007302478434
65,0.2743750792571039
66,1.5266143420834704
67,0.7281780603069089
68,0.9966749685576795
69,1.0415121851063323
70,0.8366506918438485
71,0.5726514327731452
72,1.9134340951598319
73,1.1274581717489067
74,1.4341587564121503
75,0.4428600231596213
76,1.5941008092221483
77,0.8902082246381497
78,1.3047564762734392
79,1.9418898122323012
80,1.0199423706044715
81,1.5404206980438877
82,1.4197188519568056
83,1.1928649836100247
84,0.3871149873472207
85,0.9011997504394931
86,0.7466815131738248
87,1.5941008092221483
88,0.6569604916346025
89,0.3799539360009028
90,1.0199423706044715
91,3.7575111847743186
92,0.3871149873472207
93,0.7824264052043707
94,0.881737994233577
95,0.727744691311981
96,2.0968469783775476
97,1.1057053244930013
98,0.3871149873472207
99,1.9011022558689685
