,objective_terms
pv_investment_cost,8234.215985389767
house_hp_investment_cost,0.0
power_market_cost,29562.6543016267
volume_tax_cost,9166.547706849255
grid_volume_tariff,17481.46040611436
aggregated_capacity_export_tariff,0.0
capacity_tariff,9958.716
stes_investment_cost,31277.0
hp_investment_cost,4954.6761866930465
