,el_demand
0,42.80200311673659
1,31.788082140003834
2,28.945837878152034
3,26.561471899171032
4,27.35864524432217
5,32.505102106479264
6,37.88677949803648
7,46.10686181869849
8,53.55992605419846
9,48.030151156341844
10,50.083449470912136
11,56.2352220060725
12,56.281474992340115
13,61.397919971252016
14,63.47758822674971
15,65.86172325479035
16,73.42062012675882
17,88.95819685881037
18,92.60055513769689
19,89.66384018554749
20,88.05723177554289
21,82.65495109744438
22,74.3271913984723
23,55.96553487942554
24,44.6986757281222
25,34.106011980604016
26,28.569053000926292
27,26.510576676541373
28,24.802436550750635
29,28.2764835037514
30,25.379732368266843
31,33.551808928945185
32,45.70869689594924
33,64.55659589946096
34,72.6023889740256
35,75.93950100444813
36,76.06639339220631
37,74.72690167573421
38,68.79747624464542
39,72.87621303294925
40,76.48087545666472
41,78.92605229338628
42,85.41369141369827
43,88.15046923221053
44,86.10277585678885
45,77.42708719297296
46,69.42348093796578
47,59.75073462247961
48,45.882295356482935
49,34.707544088273224
50,32.37783443895157
51,27.75893892236792
52,25.643913324607002
53,28.632144869947034
54,26.276947715831252
55,33.931928471728675
56,47.792247075243395
57,63.50215949124798
58,71.72424615960006
59,74.6774276227638
60,76.02458734656706
61,69.0125772539017
62,67.54108837421522
63,75.88802954450667
64,88.45390471287551
65,96.88990883029308
66,100.56353694843469
67,97.17585865361629
68,101.41692222876506
69,93.46230104355988
70,86.94301152290826
71,68.46300862083362
72,44.0777673535163
73,31.852148670552932
74,27.74479419410658
75,26.32531483044735
76,27.598237296567508
77,34.32867116207479
78,41.7545468183999
79,56.08668296994131
80,69.80576129792648
81,67.77713359347086
82,65.95003196630005
83,67.00461130427311
84,67.1364744246381
85,63.69641415828158
86,64.24451343276091
87,74.62926832912088
88,83.4439494613652
89,96.12682076042195
90,97.71742893872307
91,98.73026116616103
92,94.6808365227321
93,91.75076516972737
94,86.37153230220311
95,67.0956689635362
96,45.667310557654055
97,33.72626865049266
98,30.31021900624763
99,27.448583437901302
100,28.3202533119867
101,34.845758680171805
102,42.54022383318388
103,59.44449790233683
104,69.62362099423575
105,72.23704529050681
106,73.33472941640028
107,69.20740211654633
108,60.481635726071865
109,62.46180118299534
110,63.61118440056691
111,70.11783407638602
112,80.75828573206637
113,93.59149357365763
114,93.39964089768861
115,91.83077583468192
116,96.71076474253398
117,91.14183302619688
118,83.20813632780829
119,69.55312693640128
120,43.463962032954036
121,31.61285087218799
122,27.72813983798421
123,26.26538145989336
124,26.06328893862587
125,33.205316751766034
126,42.92512331633153
127,56.70637464569916
128,65.04554273025754
129,65.83781475971625
130,63.87438193572263
131,64.64859763637565
132,63.365926437639565
133,60.29211681376856
134,65.16207034143515
135,75.36723590723001
136,81.5245861731729
137,92.09060180815418
138,97.99122897796227
139,98.30434334530902
140,91.53500101792791
141,86.80908943192038
142,83.54629901251528
143,64.15066791252492
144,47.371057303227616
145,32.898175159174734
146,26.385576155819315
147,25.382076310937034
148,26.992679371207753
149,33.07478738773078
150,41.59061199126203
151,58.571240211105156
152,69.64992718888975
153,66.2386332454665
154,67.63022906328297
155,72.42477290827944
156,73.40086659764069
157,69.76957432156122
158,68.65665504569498
159,80.64259072168973
160,93.33266014945255
161,95.77830428770385
162,102.9701283407434
163,104.32008796210064
164,101.68486133899802
165,95.99018880858758
166,91.70726686264032
167,68.58754404938452
168,47.26641897567037
169,33.021881841113206
170,29.810459883906265
171,26.791067894418408
172,27.79154905608311
173,34.86672160182449
174,42.59661576836757
175,58.584512642174644
176,71.56040569790454
177,71.38504453451174
178,71.90561289358833
179,71.022867960045
180,65.79263288803091
181,69.56651516890535
182,68.94075090256794
183,77.7221489960369
184,89.70631058372216
185,95.21864660409382
186,102.31793558510353
187,101.26865372635011
188,100.85806522499291
189,91.95477600537878
190,81.24976294633368
191,67.9494887899887
192,57.64262278888205
193,41.821020698769075
194,36.45229516786428
195,32.70299195476297
196,28.396297989459562
197,30.903583337244907
198,29.686336371822833
199,42.56523242255836
200,57.33499401299227
201,73.50596456990434
202,77.00578255249421
203,88.05109909018685
204,95.99374732495279
205,94.43388388728043
206,86.16757906772686
207,83.83970592798903
208,80.28210797092562
209,90.72253759340555
210,88.7993953337496
211,98.72785017434724
212,92.21846526958764
213,83.31869809968703
214,73.57109299800902
215,60.91972487215768
216,52.518576486890005
217,38.97996809112675
218,32.4105505859135
219,28.421494821557708
220,27.504815858946973
221,28.93690046643115
222,26.92220895147714
223,36.572411363386394
224,51.24191077851143
225,70.6897500667548
226,79.54746645484894
227,83.58912533625428
228,91.34776228711974
229,81.16255964616596
230,86.92281253030762
231,83.7099770185508
232,89.13822750071967
233,104.79294313058045
234,107.69441517952957
235,105.70549559915123
