,stes_temperature
0,43.48397671614443
1,43.480510254941805
2,43.476884728326716
3,43.473552802226926
4,43.47046633756134
5,43.4673243434443
6,43.464993758202894
7,43.462608150942785
8,43.46032127340985
9,43.45875959230157
10,43.45702387063331
11,43.45362043124789
12,43.45003838082806
13,43.445355829266326
14,43.44105152689911
15,43.438362240261405
16,43.43594477069128
17,43.43214015877346
18,43.427972051646904
19,43.42425613136612
20,43.42095296340895
21,43.41738771735048
22,43.414637368766755
23,43.4123668780781
24,43.410257950028516
25,43.408253424683146
26,43.40656025631097
27,43.40460974874482
28,43.4029926449354
29,43.400069671753336
30,43.397532475454135
31,43.39533085220473
32,43.3943528684569
33,43.3924046516968
34,43.389683129949574
35,43.38663769510556
36,43.38339084801149
37,43.37976048523312
38,43.377288384968324
39,43.3744169089237
40,43.37129824118061
41,43.36841285588784
42,43.364637611110325
43,43.36068648768282
44,43.357350456737386
45,43.35447323230141
46,43.352116544116946
47,43.34850634973733
48,43.346392082192644
49,43.344415793707796
50,43.34150714626015
51,43.33910784614997
52,43.337139491750925
53,43.334011467025725
54,43.33085027747147
55,43.328142523208086
56,43.326111538915065
57,43.32369483406506
58,43.320333279316856
59,43.316646855097694
60,43.31282032880277
61,43.3096287778971
62,43.30653329160769
63,43.302238983425866
64,43.29584891872773
65,43.28905389883015
66,43.28120841634146
67,43.27456575783224
68,43.26735549734548
69,43.26018744470867
70,43.253073291731795
71,43.24572497577978
72,43.23979940749959
73,43.23468980465816
74,43.2300728076982
75,43.22549096042212
76,43.22084287757098
77,43.215334855677334
78,43.21054431573139
79,43.20447115368907
80,43.197247357229074
81,43.189793018876024
82,43.1827686960997
83,43.175131420223984
84,43.166841834469516
85,43.15952215045299
86,43.15285265746069
87,43.14631962168745
88,43.14003702891866
89,43.132913630195006
90,43.12562345329952
91,43.118222443429815
92,43.11189000239929
93,43.10504876313999
94,43.09845532560665
95,43.09204345594293
96,43.085132268825305
97,43.078771403482435
98,43.072471826733675
99,43.06655890279521
100,43.060921634261035
101,43.05445907445848
102,43.04885385216214
103,43.04057256742787
104,43.032324115887306
105,43.02254993736632
106,43.01212381038746
107,43.00224677254279
108,42.9942832547784
109,42.985831638284594
110,42.9779286367319
111,42.97073290655686
112,42.96310372277613
113,42.95427509069833
114,42.945285409526946
115,42.93656410441787
116,42.9274866473352
117,42.91781614928318
118,42.90875566490818
119,42.8983030487541
120,42.88865628683335
121,42.879772002647755
122,42.871043184462295
123,42.86212473580693
124,42.8538533067143
125,42.844445118959456
126,42.83553788797867
127,42.82513062121831
128,42.8148976504258
129,42.80328272395857
130,42.792137031448895
131,42.780178099198665
132,42.76762856804627
133,42.756461044706775
134,42.744931094402965
135,42.73440033956528
136,42.725218653178054
137,42.715397760929605
138,42.7047830849054
139,42.694304295968315
140,42.68556693135992
141,42.67645367401957
142,42.66714647293451
143,42.65816151951431
144,42.64707471308138
145,42.63774373860605
146,42.63044168254247
147,42.623016099867634
148,42.61558483979341
149,42.607836194735114
150,42.60075049317265
151,42.59192917954644
152,42.58255811136512
153,42.57321698938761
154,42.56342938599022
155,42.55172157323858
156,42.53944946047887
157,42.528237298909616
158,42.51848055694818
159,42.50935571979382
160,42.499968427899965
161,42.49184966134258
162,42.482389360117324
163,42.47275778150188
164,42.463881003435404
