,peak_aggregated_monthly_export_volume
0,82.2809354261406
1,162.43958453281735
2,275.9054835137173
3,281.61087642976867
4,283.22901858510073
5,299.46123381471654
6,309.4671294773925
7,269.03050955960833
8,287.3632858653707
9,238.28678322932217
10,161.39647645106083
11,42.56447506580441
