,peak_aggregated_monthly_import_volume
0,227.00607763377516
1,219.33760714889053
2,159.98044959641823
3,144.8463426040444
4,128.73359769017853
5,115.00731552890443
6,98.62751152339347
7,115.34678456941911
8,158.71527174009398
9,135.022539203927
10,172.57873236226874
11,212.05788509027374
