,peak_monthly_total_volume
0,377.18799999999993
1,372.79599999999994
2,284.34299999999996
3,250.692
4,217.99599999999998
5,138.91299456646883
6,117.594
7,147.70000000000005
8,183.16900000000007
9,219.23199999999994
10,303.128
11,357.19800000000004
