year_rel;bus_i;load_added_MW;label;power_factor
1;89;0.88;LEC;0.95
2;104;0.88;LEC;0.95
3;48;2;FCS_highway;1
4;65;0.88;LEC;0.95
7;30;0.88;LEC;0.95
9;38;0.88;LEC;0.95
