time_series_ID;residential;agriculture;public;industry;commercial
1;0.9809292876329745;0.0011444838363431204;0.017926228530682396;0.0;0.0
2;0.6958859329528646;0.3041140670471353;0.0;0.0;0.0
3;0.9555893663270145;0.013075220401680788;0.009080924268416519;0.022254489002888067;0.0
4;0.8771886076935377;0.03545155109290364;0.0;0.0028145722118102035;0.08454526900174851
5;0.9553740338223928;0.044625966177607126;0.0;0.0;0.0
6;0.99977441547744;0.0;0.0;0.0;0.00022558452256004523
7;0.9305630845335029;0.06943691546649715;0.0;0.0;0.0
8;0.0;0.0;0.0;0.0;1.0
9;1.0;0.0;0.0;0.0;0.0
10;0.746309857118377;0.003954499154712131;0.0;0.24973564372691076;0.0
11;0.9981856113396322;0.0;0.0;0.0;0.001814388660367767
12;1.0;0.0;0.0;0.0;0.0
13;1.0;0.0;0.0;0.0;0.0
14;0.0;0.0;0.1931891646424275;0.0;0.8068108353575725
15;0.9990057074159132;0.0;0.0;0.0;0.000994292584086768
16;0.4147853916434983;0.5852146083565016;0.0;0.0;0.0
17;1.0;0.0;0.0;0.0;0.0
18;0.9564718168940903;0.0;0.0;0.0;0.04352818310590978
19;0.0;1.0;0.0;0.0;0.0
20;1.0;0.0;0.0;0.0;0.0
21;0.34760167270820524;0.061579877078023;0.0;0.5908184502137718;0.0
22;0.0;0.0;0.0;0.9823702484403846;0.01762975155961547
23;0.0;0.0;0.0;0.0;1.0
24;1.0;0.0;0.0;0.0;0.0
25;1.0;0.0;0.0;0.0;0.0
26;0.9180659975333509;0.08193400246664914;0.0;0.0;0.0
27;1.0;0.0;0.0;0.0;0.0
28;0.7628372966855178;0.0;0.0;0.23716270331448214;0.0
29;1.0;0.0;0.0;0.0;0.0
30;1.0;0.0;0.0;0.0;0.0
31;0.5220115818277596;0.07897503602313463;0.0;0.39901338214910576;0.0
32;1.0;0.0;0.0;0.0;0.0
33;0.6441390362437026;0.0;0.005633238005186968;0.0;0.35022772575111044
34;0.0;0.0;1.0;0.0;0.0
35;0.0374092367315593;0.9625907632684406;0.0;0.0;0.0
36;1.0;0.0;0.0;0.0;0.0
