,pv_installed_capacity
0,1.6583484891770197
1,1.7296468424470586
2,1.6583484891770197
3,3.0392714961988236
4,0.971855215751161
5,1.4430221735697495
6,1.0756798854558451
7,1.7512645000457052
8,3.886963425372758
9,2.5936308840741376
10,1.2014757122872197
11,0.8993253678888764
12,4.278334525026102
13,0.9965548500837064
14,1.168111958250344
15,2.5936308840741376
16,4.278334525026102
17,0.7205642315377199
18,0.7205642315377199
19,1.7512645000457052
20,3.068668335021947
21,1.9121300778959613
22,1.4384637618687526
23,1.7289847572134218
24,3.4577984286448475
25,0.9780908179216443
26,0.9063027396062304
27,0.9780908179216443
28,0.9942734702087603
29,0.20946268948384628
30,0.29125410860877504
31,2.332016578452109
32,1.717283523364075
33,0.3738942238470347
34,0.3738942238470347
35,2.157864801587606
36,1.0726214135812735
37,0.971855215751161
38,1.168111958250344
39,1.0726214135812735
40,0.8793599647796956
41,1.2565231983640768
42,1.3350805976411555
43,0.7798650636679253
44,3.100267894257771
45,0.20946268948384628
46,3.886963425372758
47,1.7289847572134218
48,2.5864443148838974
49,1.2567481765290602
50,1.3813377975381538
51,1.727488964152261
52,0.7231120131484601
53,1.9121300778959613
54,4.7624244801626965
55,0.5888871142719646
56,1.0062423318341633
57,2.4376519353602246
58,0.9063027396062304
59,1.4384637618687526
60,2.332016578452109
61,0.9780908179216443
62,1.2607192688752171
63,1.2607192688752171
64,0.971855215751161
65,0.3738942238470347
66,1.8060836279500836
67,1.1832133632117625
68,1.0486289789530985
69,1.1538179391465615
70,1.0032010956802346
71,0.7487498268102476
72,2.527207511567836
73,1.3813377975381538
74,1.6603406794171471
75,0.577789821990133
76,1.727488964152261
77,1.052455680138142
78,1.6835699086959988
79,2.233258117179458
80,1.2607192688752171
81,1.9471739586426569
82,2.0559934481495974
83,1.467413801490793
84,0.5962993935292621
85,1.0726214135812735
86,0.9780908179216443
87,1.727589737247881
88,0.7533353334534488
89,0.4335157059071809
90,1.2607192688752171
91,4.7624244801626965
92,0.5962993935292621
93,0.8349586680696708
94,1.1612605299617036
95,0.8793599647796956
96,2.4376519353602246
97,1.3131336049852373
98,0.5962993935292621
99,2.157864801587606
