,peak_monthly_total_volume
0,139.384009874516
1,170.7521837294662
2,141.5807664517607
3,126.04619027491795
4,119.35982671949937
5,106.76985822392092
6,90.12231461223924
7,103.191317792823
8,146.85521353403954
9,101.16828270120111
10,95.10808988378908
11,120.90724371475325
