,hp_direct_qw
0,160.7649968832634
1,155.47191785999618
2,157.38316212184804
3,153.86252810082897
4,150.91935475567777
5,151.58789789352073
6,141.8532205019635
7,142.5151381813015
8,141.3320739458016
9,132.5808488436582
10,134.69155052908778
11,154.73477799392757
12,156.88052500765986
13,166.54755504412626
14,165.5534117732503
15,146.17627674520972
16,142.91637987324117
17,151.02115974523815
18,139.62114522122525
19,148.87149924997095
20,153.5547682244571
21,156.7020489025557
22,146.9258086015278
23,141.1694651205744
24,139.23232427187776
25,137.98098801939597
26,134.21194699907372
27,137.3324233234587
28,133.2925634492493
29,149.0075164962486
30,144.3802676317332
31,140.35519107105478
32,125.55230310405086
33,137.313404100539
34,146.5976110259744
35,150.4864989955519
36,152.90560660779371
37,157.51009832426578
38,143.61352375535458
39,148.40778696705084
40,151.37612454333527
41,148.57894770661363
42,159.2593085863017
43,153.46334639575537
44,153.99422414321128
45,148.49091280702706
46,142.24651906203428
47,157.29026537752037
48,139.34170464351698
49,137.68745591172674
50,148.8771655610484
51,142.767061077632
52,137.59708667539297
53,151.51485513005298
54,151.9150522841687
55,146.47607152827132
56,138.35675292475662
57,142.98684050875198
58,154.32675384039993
59,158.22757237723616
60,159.91141265343293
61,152.2944227460984
62,151.14391162578474
63,165.53197045549337
64,0.0
65,0.0
66,113.62542771824415
67,124.54902002299765
68,111.22152639599558
69,135.83895414863412
70,156.02155195928933
71,166.54755504412626
72,166.54755504412626
73,166.54755504412626
74,166.54755504412626
75,166.54755504412626
76,166.54755504412626
77,166.54755504412626
78,166.54755504412626
79,166.54755504412626
80,166.54755504412626
81,166.54755504412626
82,166.54755504412626
83,166.54755504412626
84,166.54755504412626
85,166.54755504412626
86,166.54755504412626
87,166.54755504412626
88,166.54755504412626
89,127.61195047947923
90,122.63049038715516
91,119.45672573201018
92,132.3771393309629
93,141.2502444015028
94,157.97886462474725
95,166.54755504412626
96,166.54755504412626
97,166.54755504412626
98,166.54755504412626
99,166.54755504412626
100,166.54755504412626
101,166.54755504412626
102,166.54755504412626
103,166.54755504412626
104,166.54755504412626
105,166.54755504412626
106,166.54755504412626
107,166.54755504412626
108,166.54755504412626
109,166.54755504412626
110,166.54755504412626
111,166.54755504412626
112,166.54755504412626
113,134.8164161956547
114,135.3498104715598
115,140.30137669540477
116,125.07625601878574
117,142.07945931519967
118,166.54755504412626
119,166.54755504412626
120,166.54755504412626
121,166.54755504412626
122,166.54755504412626
123,166.54755504412626
124,166.54755504412626
125,166.54755504412626
126,166.54755504412626
127,166.54755504412626
128,166.54755504412626
129,166.54755504412626
130,166.54755504412626
131,166.54755504412626
132,166.54755504412626
133,166.54755504412626
134,166.54755504412626
135,166.54755504412626
136,166.54755504412626
137,139.08486830240236
138,120.54069026701015
139,119.6224947298766
140,141.204676907528
141,155.68120001107678
142,165.7001253158532
143,166.54755504412626
144,166.54755504412626
145,166.54755504412626
146,166.54755504412626
147,166.54755504412626
148,166.54755504412626
149,166.54755504412626
150,166.54755504412626
151,166.54755504412626
152,166.54755504412626
153,166.54755504412626
154,166.54755504412626
155,166.54755504412626
156,166.54755504412626
157,166.54755504412626
158,166.54755504412626
159,166.54755504412626
160,135.39963812337504
161,128.30637720522438
162,105.56555510468075
163,101.32664781042176
164,109.75675406878744
165,127.17981325983806
166,140.42154334175888
167,166.54755504412626
168,166.54755504412626
169,166.54755504412626
170,166.54755504412626
171,166.54755504412626
172,166.54755504412626
173,166.54755504412626
174,166.54755504412626
175,166.54755504412626
176,166.54755504412626
177,166.54755504412626
178,166.54755504412626
179,166.54755504412626
180,166.54755504412626
181,166.54755504412626
182,166.54755504412626
183,166.54755504412626
184,147.17740947411667
185,130.238751762257
186,107.85276385133042
187,111.15743098586397
