,stes_temperature
0,36.42789342315342
1,36.42709525170409
2,36.426121929406825
3,36.425471388650934
4,36.425090676719165
5,36.4246487038664
6,36.425099102213395
7,36.42548879850961
8,36.425986919636884
9,36.427287207352215
10,36.4283939382577
11,36.42766330877684
12,36.426736028424
13,36.424590022071726
14,36.42286778663849
15,36.42292200867821
16,36.42327505143608
17,36.422102059807855
18,36.42052904442104
19,36.41945325522217
20,36.41883131465019
21,36.417920909615816
22,36.41790671302965
23,36.4184201820904
24,36.41911119245435
25,36.419916868347435
26,36.42106799268703
27,36.42193300623951
28,36.42316828984002
29,36.42296296404638
30,36.423181814704876
31,36.42376961795321
32,36.425714318322704
33,36.426580804368676
34,36.42659618758685
35,36.4262550885108
36,36.425692257793706
37,36.42470738148889
38,36.424996415282735
39,36.42484595809478
40,36.42442341206909
41,36.42425729855948
42,36.423112161655595
43,36.421773379493324
44,36.421111020171665
45,36.42095316967915
46,36.42136773115112
47,36.42040325837037
48,36.421084126563656
49,36.42191659452142
50,36.42172329055201
51,36.42209009076548
52,36.42293078391039
53,36.42249563259135
54,36.422023821907615
55,36.42205061197193
56,36.420334961383695
57,36.418619410838005
58,36.41690396032904
59,36.40042404872038
60,36.38397780028079
61,36.36807331781692
62,36.35224349464719
63,36.335070704273235
64,36.3155496271463
65,36.295575375705056
66,36.27442444032008
67,36.25462238923132
68,36.249641639061636
69,36.24470800969749
70,36.239834605813165
71,36.23469855591793
72,36.23115698824201
73,36.22852979949734
74,36.22645455675281
75,36.22441852617236
76,36.222308071346816
77,36.21923357921207
78,36.21696308240149
79,36.213254788941185
80,36.19279985820609
81,36.174140022098726
82,36.15390997724263
83,36.14845040171025
84,36.14225950473932
85,36.13715552218848
86,36.132780111029035
87,36.128557459486416
88,36.12461532729623
89,36.10427382510634
90,36.099202881991886
91,36.09400752567382
92,36.09000967444362
93,36.08544135631716
94,36.081150596830895
95,36.07706315879692
96,36.07241588024008
97,36.068385236261996
98,36.064423100396226
99,36.060894153289766
100,36.057673985192835
101,36.05352861348911
102,36.05034399172709
103,36.04415975173493
104,36.03801212428264
105,36.030154215927396
106,36.02156538947537
107,36.013591812930144
108,36.00776279286725
109,36.001386505387856
110,35.99562493814704
111,35.97519914353964
112,35.954288231888626
113,35.93203364679354
114,35.90959926442054
115,35.88746640061895
116,35.8803918371087
117,35.872652381744416
118,35.86559646337425
119,35.8569800018348
120,35.84926658214094
121,35.84240758700737
122,35.83572265531232
123,35.82882498996725
124,35.82265233996848
125,35.815205379478854
126,35.80831972118757
127,35.79975257704912
128,35.79138060037629
129,35.78145948534468
130,35.77206411441402
131,35.76175704275404
132,35.75078781395186
133,35.741367400067034
134,35.731540573561446
135,35.72283349229217
136,35.71563830811674
137,35.69226971256989
138,35.668012125870305
139,35.65936433397423
140,35.652668206539985
141,35.645550575719156
142,35.63821537652227
143,35.631241175736406
144,35.62191094948628
145,35.61454853581929
146,35.6094600220181
147,35.60423286773981
148,35.598999162759256
149,35.59340953337341
150,35.58856276872737
151,35.56631370091554
152,35.54344916013318
153,35.52061889648455
154,35.49728891176578
155,35.47180739524521
156,35.44569409987126
157,35.42076954757097
158,35.3974769952989
159,35.3903501939232
160,35.382929034211806
161,35.37692949659878
162,35.369426127786085
163,35.361730595404964
164,35.35488088266514
165,35.347459785739304
166,35.340025772188
167,35.3334818831872
168,35.3263171396227
169,35.32091173212663
170,35.31552948419309
171,35.31099290556352
172,35.306770564457594
173,35.30159213064819
174,35.29761291197476
175,35.29169822846133
176,35.28463857021478
177,35.276637692563945
178,35.26837767373905
179,35.25993098044652
180,35.252653044557604
181,35.24439282733733
182,35.23754761137113
183,35.231852251123456
184,35.226138370635056
185,35.22075643596281
186,35.21407793913178
187,35.20757941970001
188,35.20152871881561
189,35.19572408747763
190,35.191257793772095
191,35.185584779166646
192,35.17870804764845
193,35.17269321170403
194,35.16618511639125
195,35.15981700999106
196,35.1554397250097
197,35.149897610816666
198,35.143944635983296
199,35.13701107850413
200,35.13260221706871
201,35.12856124483873
202,35.12463238823845
203,35.11825830857133
204,35.109116378057294
205,35.099609133173345
206,35.092237143594865
207,35.086268604717645
208,35.08117208978722
209,35.0748366389454
210,35.06853657043496
211,35.06096522765074
212,35.05523283836189
213,35.049850413141506
214,35.04569715073572
215,35.040538330822315
216,35.03571016487233
217,35.03147066359004
218,35.02820360409437
219,35.02541542113133
220,35.02264648498413
221,35.01922305540013
222,35.01555504455375
223,34.996531832659386
224,34.97874213808001
225,34.959751086862525
226,34.939827458493696
227,34.92084696503717
228,34.90180190952226
229,34.89634463555112
230,34.88956997153645
231,34.884324447569966
232,34.878027439805905
233,34.86924157825691
234,34.85963572629125
235,34.851136802489634
236,34.84269455638511
237,34.83434966888173
238,34.825749787499745
239,34.81682414126297
240,34.80876144527279
241,34.800924433963026
242,34.794560859068866
243,34.788243169788565
244,34.781418669561795
245,34.774593651732914
246,34.76907854788641
247,34.762188599264285
248,34.73914691672441
249,34.73127088472445
250,34.723241848838015
251,34.71429184389012
252,34.705994799007755
253,34.69865218483753
254,34.69112626981902
255,34.68343072443666
256,34.67721293466319
257,34.670809525501134
258,34.6635514036705
259,34.657830303845174
260,34.652884765534466
261,34.64665865758444
262,34.640993002057385
263,34.633901714756234
264,34.62751859280862
265,34.62228135015263
266,34.616513001814205
267,34.61030478760518
268,34.60428992665073
269,34.59796288723351
270,34.591317841337435
271,34.58483173299288
272,34.576629651368435
273,34.56771207922877
274,34.55924007575765
275,34.55073083980024
276,34.54317281075832
277,34.53440830122231
278,34.527947025450175
279,34.52091657767984
280,34.514728990660814
281,34.50812915148259
282,34.50056657257167
283,34.49324797406304
284,34.48617753866179
285,34.478504188748246
286,34.471492946390896
287,34.464620926526536
288,34.457816825421105
289,34.45240524622733
290,34.446782041994155
291,34.44139995322149
292,34.43575216295703
293,34.43043249909432
294,34.42598144669333
295,34.42013984789789
296,34.411903657469175
297,34.40346066483628
298,34.39508700051192
299,34.38562606054867
300,34.37674316371931
301,34.368798535165
302,34.36196343665205
303,34.35626283386666
304,34.35130122797877
305,34.34476266046018
306,34.33825516486522
307,34.33083781047205
308,34.3241084915028
309,34.31788153755953
310,34.310942217510586
311,34.302378450870606
312,34.29518155025893
313,34.28887525832121
314,34.282738460686296
315,34.27712197480624
316,34.27148630388028
317,34.26545432377114
318,34.26097287752971
319,34.25434784274872
320,34.24697203223684
321,34.23868971635559
322,34.23015675828358
323,34.222248013871926
324,34.21353964561098
325,34.20486981283044
326,34.19740086230942
327,34.191253290671646
328,34.18565695363468
329,34.179314465023495
330,34.172977896888426
331,34.16529179802026
332,34.15801980169621
333,34.150997134444594
334,34.14371359554691
335,34.13472250246849
336,34.125101118998295
337,34.11632252630362
338,34.10801574268707
339,34.10035536736096
340,34.092729632479376
341,34.0849997256432
342,34.07791581987889
343,34.06768619218798
344,34.04204006784042
345,34.01569287697067
346,33.98885636703299
347,33.96251902054524
348,33.95307137868469
349,33.943957277293556
350,33.936190786349854
351,33.92919944650318
352,33.92249627391239
353,33.89938079457311
354,33.89103949415316
355,33.88109484471376
356,33.872142230736046
357,33.863178825038254
358,33.85552667960428
359,33.8478214141508
360,33.840351665679414
361,33.83348470089847
362,33.82702335516664
363,33.82053672911264
364,33.81412739454919
365,33.80707011365078
366,33.79902996354741
367,33.791810791510656
368,33.78590774563435
369,33.779296901907635
370,33.770826651664564
371,33.76209766499218
372,33.75310738196998
373,33.74395577590069
374,33.736749457104196
375,33.73030947890355
376,33.72258188284105
377,33.71448545614105
378,33.70614975326649
379,33.69691295886929
380,33.687447921563155
381,33.67880802661039
382,33.6707519286468
383,33.662311659032795
384,33.65461458962572
385,33.646914879940624
386,33.63955969569739
387,33.63327140276864
388,33.62764774575659
389,33.62048210416481
390,33.61367210916396
391,33.60697423141191
392,33.601427941050844
393,33.594863331744335
394,33.58747493414313
395,33.578068310730934
396,33.5678645888255
397,33.55835008138913
398,33.55034246928972
399,33.54220572188673
400,33.534299497572675
401,33.52469776867484
402,33.5141705839696
403,33.50303500088427
404,33.493874980411746
405,33.48424676533253
406,33.47495787086672
407,33.46544418415255
408,33.45638857326465
409,33.44733512253704
410,33.43836203033907
411,33.42999397236663
412,33.42265624905197
413,33.41585207897883
414,33.394179315593696
415,33.37074096107497
416,33.346383377246724
417,33.32220663864982
418,33.29700735179922
419,33.28828487408394
420,33.266258486563565
421,33.244745068765525
422,33.226803986692815
423,33.20495400369488
424,33.1837991507964
425,33.161742572901574
426,33.1406946133161
427,33.11956706513631
428,33.09785077926276
429,33.07626495237999
430,33.07137849438936
431,33.06481446503005
432,33.05824481462146
433,33.05146363091636
434,33.046695221415845
435,33.04151390063574
436,33.03702318795192
437,33.03230632380202
438,33.02840841401512
439,33.02299400809308
440,33.01680655653715
441,32.99473407984832
442,32.97275511970807
443,32.960214986112305
444,32.94022955755381
445,32.93557058985756
446,32.93193369045259
447,32.91293167975012
448,32.89465471049488
449,32.8758656709316
450,32.85544754363721
451,32.834521075496966
452,32.831148187432746
453,32.828281144381506
454,32.824626813634694
455,32.819655291567166
456,32.813664845140664
457,32.80811077803045
458,32.80375277645305
459,32.800144973340764
460,32.79703448669052
461,32.7930469412765
462,32.79005922134644
463,32.78571632891651
464,32.780518678093344
465,32.775471700995936
466,32.77047766346945
467,32.76487658854818
468,32.76061773953927
469,32.755960258165175
470,32.75172967390729
471,32.7330358044925
472,32.71556438334406
473,32.69705955933887
474,32.67733583007427
475,32.65894610862452
476,32.64162040806849
477,32.62438676876533
478,32.6208619769032
479,32.61679913274052
480,32.61355674468002
481,32.61077720544487
482,32.608746268899665
483,32.607305418251286
484,32.60585682286721
485,32.603889388397576
486,32.5875299257074
487,32.571105306226734
488,32.55363423988143
489,32.53604453899881
490,32.519314888207106
491,32.50248979605736
492,32.485860861237185
493,32.468524574224745
494,32.45090576669722
495,32.434631392699785
496,32.41948389919159
497,32.40240387631342
498,32.385904792592484
499,32.36762521101081
500,32.35009618256878
501,32.33309449965367
502,32.33034289439273
503,32.32768194608165
504,32.32524395545222
505,32.323861870372355
506,32.322224225537305
507,32.32165711526934
508,32.321415156857285
509,32.3208776900334
510,32.305411281268405
511,32.28820128807785
512,32.270847032201495
513,32.253621108243564
514,32.235373971255044
515,32.21861837500446
516,32.20130910838327
517,32.18486745450163
518,32.16822816749138
519,32.151645826379706
520,32.13505379397278
521,32.1184163693128
522,32.10304188089754
523,32.08642024405283
524,32.070489013971866
525,32.054866059149774
526,32.05479176342275
527,32.05400524293357
528,32.05477189156095
529,32.05556086025422
530,32.056613519771815
531,32.0573100975445
532,32.05814161719874
533,32.058626975461635
534,32.05936266798622
535,32.04426117553247
536,32.02974162574711
537,32.01478769749333
538,32.00030550808781
539,31.984559245939423
540,31.968634071307015
541,31.952211466551198
542,31.936340299066053
543,31.920146582048503
544,31.90527993693429
545,31.88888734685847
546,31.871878937357913
547,31.855019374058905
548,31.854915212870186
549,31.854832969467175
550,31.85505308551459
551,31.854425837517017
552,31.853495672719426
553,31.853465074687243
554,31.85392257188462
555,31.854119378504624
556,31.853737058734293
557,31.852724894696305
558,31.85127568938267
559,31.834999941118717
560,31.820077935122615
561,31.80544117509421
562,31.789686499897204
563,31.771652235033798
