,peak_aggregated_monthly_export_volume
0,146.4129677542191
1,185.75631635322813
2,220.42252886836255
3,225.1725912998879
4,257.7214036107112
5,270.922369612078
6,278.306960650341
7,260.0308775647542
8,261.5280538436853
9,225.69136954746259
10,176.30703656885572
11,98.52709243708378
