,objective_terms
power_market_cost,16768.55776102886
volume_tax_cost,7074.719729255539
grid_volume_tariff,12732.07878857924
connection_cost,9958.716
individual_capacity_tariff,6075.820969381908
aggregated_capacity_export_tariff,0.0
aggregated_capacity_import_tariff,0.0
pv_investment_cost,17544.201420211637
house_hp_investment_cost,0.0
stes_investment_cost,25171.0
stes_hp_investment_cost,4799.037793414861
