,stes_hp_direct_qw
0,160.7649968832634
1,155.47191785999618
2,157.38316212184804
3,153.86252810082897
4,150.91935475567777
5,151.58789789352073
6,141.8532205019635
7,142.5151381813015
8,141.3320739458016
9,132.5808488436582
10,134.69155052908778
11,154.73477799392757
12,156.88052500765986
13,165.48406184189176
14,165.48406184189176
15,146.17627674520972
16,142.91637987324117
17,159.5638031411896
18,163.9284448623032
19,158.50515981445253
20,153.5547682244571
21,156.7020489025557
22,146.9258086015278
23,141.1694651205744
24,139.23232427187776
25,137.98098801939597
26,134.21194699907372
27,137.3324233234587
28,133.2925634492493
29,149.0075164962486
30,144.3802676317332
31,140.35519107105478
32,125.55230310405086
33,137.313404100539
34,146.5976110259744
35,150.4864989955519
36,152.90560660779371
37,157.51009832426578
38,143.61352375535458
39,148.40778696705084
40,151.37612454333527
41,148.57894770661363
42,159.2593085863017
43,161.37253076778944
44,153.99422414321128
45,148.49091280702706
46,142.24651906203428
47,157.29026537752037
48,139.34170464351698
49,137.68745591172674
50,148.8771655610484
51,142.767061077632
52,137.59708667539297
53,151.51485513005298
54,151.9150522841687
55,146.47607152827132
56,138.35675292475662
57,142.98684050875198
58,154.32675384039993
59,0.1498800693020909
60,2.180360624239481
61,0.3585590461412143
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,165.48406184189176
69,165.48406184189176
70,165.48406184189176
71,165.48406184189176
72,165.48406184189176
73,165.48406184189176
74,165.48406184189176
75,165.48406184189176
76,165.48406184189176
77,165.48406184189176
78,165.48406184189176
79,165.48406184189176
80,0.0
81,22.06576923884611
82,0.0
83,0.0
84,165.48406184189176
85,165.48406184189176
86,165.48406184189176
87,165.48406184189176
88,165.48406184189176
89,0.0
90,165.48406184189176
91,165.48406184189176
92,165.48406184189176
93,165.48406184189176
94,165.48406184189176
95,165.48406184189176
96,165.48406184189176
97,165.48406184189176
98,165.48406184189176
99,165.48406184189176
100,165.48406184189176
101,165.48406184189176
102,165.48406184189176
103,165.48406184189176
104,165.48406184189176
105,165.48406184189176
106,165.48406184189176
107,165.48406184189176
108,165.48406184189176
109,165.48406184189176
110,165.48406184189176
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,165.48406184189176
117,165.48406184189176
118,165.48406184189176
119,165.48406184189176
120,165.48406184189176
121,165.48406184189176
122,165.48406184189176
123,165.48406184189176
124,165.48406184189176
125,165.48406184189176
126,165.48406184189176
127,165.48406184189176
128,165.48406184189176
129,165.48406184189176
130,165.48406184189176
131,165.48406184189176
132,165.48406184189176
133,165.48406184189176
134,165.48406184189176
135,165.48406184189176
136,0.0
137,0.0
138,0.0
139,165.48406184189176
140,165.48406184189176
141,165.48406184189176
142,165.48406184189176
143,165.48406184189176
144,165.48406184189176
145,165.48406184189176
146,165.48406184189176
147,165.48406184189176
148,165.48406184189176
149,165.48406184189176
150,165.48406184189176
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,165.48406184189176
160,165.48406184189176
161,165.48406184189176
162,165.48406184189176
163,165.48406184189176
164,165.48406184189176
165,165.48406184189176
166,165.48406184189176
167,165.48406184189176
168,165.48406184189176
169,165.48406184189176
170,165.48406184189176
171,165.48406184189176
172,165.48406184189176
173,165.48406184189176
174,165.48406184189176
175,165.48406184189176
176,165.48406184189176
177,165.48406184189176
178,165.48406184189176
179,165.48406184189176
180,165.48406184189176
181,165.48406184189176
182,165.48406184189176
183,165.48406184189176
184,165.48406184189176
185,165.48406184189176
186,165.48406184189176
187,165.48406184189176
188,165.48406184189176
189,165.48406184189176
190,165.48406184189176
191,165.48406184189176
192,165.48406184189176
193,165.48406184189176
194,165.48406184189176
195,165.48406184189176
196,165.48406184189176
