,peak_aggregated_monthly_import_volume
0,163.49911007985628
1,181.98085004546783
2,196.43880887015982
3,133.22523423383143
4,120.07031902026212
5,160.5804726162834
6,140.35319224177798
7,143.27279628873598
8,163.65047911632828
9,153.00162624347956
10,147.13955472030386
11,156.3135819032169
