,stes_discharge_qc
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,4.598442617221045
14,0.06882191939727417
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,157.86268760801053
60,157.513035718083
61,151.73072763159894
62,150.9423864102837
63,165.3112611615527
64,190.42984982674164
65,195.28736038148057
66,207.8809184341632
67,193.47183449125532
68,35.01483102938459
69,34.514120719676036
70,33.87326585430016
71,36.684515419172115
72,19.639513698133182
73,9.865182222852415
74,3.9654135599968177
75,3.5474509511712364
76,4.344464381672465
77,14.65326709465261
78,6.058865939202599
79,21.43320330252999
80,200.4905610504708
81,181.31016230569094
82,198.11046807632178
83,40.197222872643785
84,48.0199155697726
85,36.40248642244065
86,28.615783280327374
87,26.9852053904959
88,23.988525166427845
89,199.33304700059176
90,36.072911661706435
91,37.40629921057182
92,24.605813954476204
93,30.707738545676854
94,27.74292976937778
95,25.571691956926536
96,31.56005521826748
97,24.969895736219346
98,24.239919980938687
99,19.610736035193916
100,16.31147105427389
101,26.205755693246314
102,15.936001827105024
103,48.009905456710975
104,47.62229986226785
105,65.91245613172532
106,73.73233158466611
107,67.15943444812041
108,44.23480781674084
109,50.08982524709321
110,43.52121187381191
111,200.31472303571584
112,205.51432931557642
113,219.89392308444062
114,221.83019062350826
115,218.62034119976425
116,57.630793638967376
117,64.74422811301594
118,57.440675882473464
119,74.13040259469193
120,64.48045127826771
121,55.349752957486174
122,53.492943043644516
123,55.77165907723112
124,48.02409547513698
125,61.6528716990809
126,55.65607154326817
127,73.63881121567302
128,71.55742202189408
129,88.12602902180804
130,82.51095860203627
131,92.26472052231739
132,99.35093082612191
133,82.79784070382777
134,87.14907778086474
135,75.18288843582421
136,59.0231133035692
137,231.95371366092337
138,241.47337666067492
139,74.58857447432926
140,53.72676967860721
141,58.23765871583342
142,60.56833741467941
143,56.71311567320293
144,81.90808813502137
145,60.87405310288218
146,36.56610597423302
147,38.051622485988844
148,38.124921563131714
149,41.93372835729746
150,33.994503519904306
151,220.0629507758429
152,226.65745938069534
153,226.30522359886083
154,231.6624752421348
155,254.68119878893157
156,261.45206522448956
157,248.75830511086747
158,231.32450049436594
159,58.49481409445044
160,61.64653675925801
161,46.45118014652442
162,62.53388385888901
163,64.59317485036009
164,55.554469171298564
165,61.66797947166838
166,61.810710855021036
167,52.29813403785935
168,58.94039094480847
169,40.13403669651962
170,39.889784757783595
171,30.851244224618767
172,27.49424503783632
173,37.719420722155846
174,24.90064108116824
175,45.59711206985948
176,57.842869538204056
177,67.91078888671223
178,70.68651461878113
179,72.68758789241305
180,60.19649998433119
181,70.70358954649785
182,55.57954612714685
183,43.289556564469116
184,43.49112585890083
185,39.94552361988965
186,53.81172169085459
187,51.891567173796425
188,47.10754289048502
189,44.48033972447303
190,30.174452766106114
191,43.0794972235759
192,55.95317540334768
193,46.742075357340546
194,52.01975458753748
195,50.52705072968802
196,29.24515843637105
197,41.70224146904936
198,46.098618771850845
199,56.58671991584974
200,29.596992674203044
201,25.666270078033538
202,24.47004918608704
203,50.61682373711137
204,80.21465903332516
205,84.12629998641383
206,61.30207773287476
207,46.300979041759575
208,36.981020201546954
209,50.23090048523032
210,49.85654255520672
211,63.452934987729904
212,43.7955647126164
213,40.05732285962387
214,26.918469821166315
215,37.67248012284982
216,34.14034431027057
217,27.849351894839415
218,17.454647510045668
219,12.336536533382276
220,12.132487924042922
221,19.132058096035454
222,21.749255355636087
223,185.92935185176472
224,172.75244510252662
225,185.60844160000087
226,195.5913968337575
227,185.5198201159071
228,186.22195139293322
229,40.95326512854023
230,55.04220191491084
231,38.696860312651914
232,49.94259549779263
233,76.55734615543827
234,85.33016140255441
235,73.50087442349228
236,72.90017530158089
237,71.86448061682513
238,74.5960779452582
239,78.08451753206441
240,68.86341835917173
241,66.45542459694104
242,50.70632857485904
243,50.21968708308846
244,55.642448606075874
245,55.65223767206933
246,41.65089255942858
247,56.35417139668165
248,229.05280611441228
249,66.91603631620269
250,68.55686433205778
251,78.40887139206033
252,71.43300242193926
253,61.233402198056595
254,63.19783275990736
255,65.01621278484313
256,49.22084774860767
257,51.20936685040573
258,60.35194702979106
259,43.92263296292212
260,35.63389617704639
261,49.32883015024651
262,43.340354629065615
263,58.58674191828839
264,51.01945915590068
265,38.771697448412816
266,44.453544663535524
267,49.16018693824912
268,47.096724569278045
269,50.438286772602986
270,53.842356757195695
271,52.147139436494996
272,70.4983696324465
273,78.15350796465266
274,73.39504759028495
275,73.79841936515935
276,63.633420269395
277,76.53782190903654
278,51.917110905485615
279,58.00672631526553
280,48.99924242838069
281,53.410900283196604
282,63.70862830019579
283,61.10470487240035
284,58.45590784740026
285,64.90667801012508
286,57.83220811500074
287,56.34801251206834
288,55.626109632874886
289,40.741507499413785
290,43.00757637252988
291,40.43307576228219
292,43.277311677876334
293,39.77250541242562
294,30.488628309341838
295,45.35912545166375
296,70.96574125054242
297,73.18200542689056
298,72.44601109606451
299,84.0763829471481
300,77.90184436212161
301,67.87541817603872
302,56.017276203386146
303,43.89150935631603
304,35.993708677122804
305,52.85767584011515
306,52.52953142671203
307,62.26179891872115
308,54.90994865667911
309,49.54285732051387
310,57.16335803507506
311,74.53626743732727
312,59.92707510558505
313,50.409174208015486
314,48.60087289995679
315,43.04152571985849
316,43.25015393552532
317,47.49100538801636
318,30.916458027092247
319,53.838500734791424
320,61.86992535320003
321,71.56687935160282
322,74.25190942222106
323,67.58313700046419
324,76.13764605399972
325,75.73105409510299
326,62.89662634798807
327,48.77309998740082
328,42.883132455910165
329,50.86447422985262
330,50.80512684438546
331,65.23826009632543
332,60.81546773887201
333,58.15417516067495
334,60.947793215391556
335,79.20950357666499
336,85.9541741132295
337,76.94905377553043
338,71.90994429252139
339,65.00372587298742
340,64.63812624673113
341,65.75668719431673
342,58.854463091199285
343,92.49293852600303
344,257.33249863438994
345,264.84429145293745
346,270.0925175835958
347,264.77219370860587
348,84.20389235296102
349,80.64356796603214
350,66.24059942157395
351,57.95752605836914
352,54.88080064215669
353,230.36536361712263
354,72.41425439623178
355,89.56246265427518
356,78.96181967844012
357,79.08278642663255
358,65.06838009141727
359,65.64111021533618
360,63.127766636773245
361,56.6874605752338
362,52.35486304156211
363,52.62918869491408
364,51.806832288077665
