,peak_aggregated_monthly_export_volume
0,0.0
1,0.0
2,95.732324519195
3,117.60655815336793
4,144.29550679958984
5,163.39531040966486
6,179.4365324764788
7,139.6913617634429
8,156.9865838302569
9,108.00189195292576
10,0.0
11,0.0
