,Price [EUR/MWh]
0,92.84994271334165
1,83.73501586716039
2,78.51108606101033
3,78.51108586680047
4,79.0593697729748
5,92.16791205452935
6,96.64470726997637
7,98.1830579536742
8,79.05936664447562
9,79.05936580590618
10,79.05936565825081
11,79.05936567098625
12,79.05936561347646
13,78.91424540193906
14,78.5110856621442
15,78.51108544301623
16,78.5110854990515
17,78.5110827018355
18,78.51108280312566
19,78.24923575014596
20,78.51105518180741
21,78.5110840284731
22,78.51108397936333
23,77.83392940838442
24,77.45160208423566
25,70.13209857652178
26,70.13209730793234
27,77.22152539876552
28,77.22152843190331
29,77.99520868213078
30,77.99520951427046
31,78.51108700673204
32,79.05936463961794
33,78.6402929445071
34,78.51108650487573
35,78.5110860343939
36,78.51108596413751
37,78.5110859921779
38,78.51108596071614
39,78.51108600292156
40,78.51108599646459
41,78.51108596752331
42,78.51108594981099
43,78.5110859295255
44,78.51108590365739
45,78.51108582332964
46,78.5110842502214
47,78.2492365733096
48,78.24923313265957
49,78.24923280075926
50,78.24923304303599
51,78.24926233347236
52,78.51108531350849
53,78.51108610738007
54,78.51108648391167
55,78.51108685549305
56,78.51108720561749
57,78.51108735293073
58,78.5110871817939
59,78.51108698637324
60,78.51108685870379
61,78.78105802432418
62,93.56338523614828
63,97.3310026739013
64,98.18305942315666
65,98.18306090183928
66,98.18306079376013
67,98.18305942689359
68,98.18305447693626
69,96.5045700037563
70,94.29888473463222
71,94.29887319068692
72,94.29888326337002
73,94.29888477906958
74,94.29888583299832
75,95.05712975838594
76,95.70290589193286
77,98.60052933642
78,98.60052933642
79,98.60052933642
80,98.60052933642
81,98.60052933642
82,98.60052933642
83,98.60052933642
84,98.60052933642
85,98.60052933642
86,98.60052933642
87,98.60052933642
88,98.18304715971004
89,78.51108612856083
90,78.5110860025031
91,78.51108593743866
92,78.51108590169983
93,78.51108582280052
94,78.51108553419904
95,78.51108534903129
96,78.51108529659062
97,78.51108508388866
98,78.37454839890798
99,78.37454140692776
100,78.37453971002648
101,78.51108513588552
102,78.51108589046459
103,78.5110859474912
104,78.51108593459664
105,78.51108598988853
106,78.51108594673279
107,78.5110859052924
108,78.51108573324873
109,78.51108569844628
110,78.51108577398982
111,78.5110859852191
112,78.51108603435627
113,78.5110860437807
114,78.51108611942539
115,78.51108632001593
116,78.51108677034135
117,78.5110865984499
118,78.51108566545693
119,78.51108573792709
120,78.51108577259593
121,78.51108574741696
122,78.51108557325684
123,78.51108555431915
124,78.51108555968675
125,78.51108569709844
126,78.51108581406424
127,78.51108586368207
128,78.51108583256664
129,78.51108582890411
130,78.51108590205693
131,78.51108586691528
132,78.51108500510159
133,78.51108358805558
134,78.51084731119366
135,78.51108552342978
136,78.51108533421736
137,78.5110852499022
138,78.5110853602898
139,78.51108546113998
140,78.51108538745102
141,78.51108498395935
142,78.51108490999955
143,78.24923361297922
144,78.24921897385501
145,77.99521338459773
146,77.99523316435157
147,78.24921707292374
148,77.99520945486996
149,77.99520884891986
150,77.99520891758388
151,77.995208126059
152,77.74883960888087
153,77.99520089154088
154,77.99520591641487
155,77.9952071724228
156,77.99520692911325
157,77.99520789877833
158,77.99520815767177
159,77.99520877015061
160,77.99520875116556
161,77.99520781698514
162,77.35816658424103
163,77.3580691502872
164,76.5559667943894
165,70.13209610847373
166,70.13209315364676
167,70.12160282927304
168,81.77761371331975
169,81.77747165555101
170,81.07678989815466
171,81.64207059120122
172,81.77765795423315
173,81.77766006108996
174,81.77766299732065
175,83.8851535643988
176,83.88515027784588
177,81.77766659150336
178,81.77766240143109
179,81.77766235308817
180,81.77766239301253
181,81.77766260061543
182,81.77766735372131
183,82.81536154077952
184,83.88515311864349
185,83.88515331167642
186,83.88515085691215
187,83.88514592539354
188,81.77766305337944
189,81.77766230094409
190,81.77766138531177
191,81.77765481232579
192,79.13529871413034
193,79.13526626446745
194,79.13523773424598
195,79.13524938833069
196,79.13527323124043
197,81.77766211502194
198,81.77766262134803
199,81.77766269783744
200,81.77766252360665
201,81.77766186416675
202,81.77766146691175
203,81.77766113834913
204,81.77766141048592
205,81.77766241450593
206,81.77766244708815
207,81.777662467309
208,81.7776625079129
209,81.77766247404276
210,81.7776624474205
211,81.77766249017618
212,81.77766257293658
213,81.77766239899265
214,81.77766191046162
215,81.77766161696832
216,81.7776605573496
217,81.77765945390946
218,81.7776524792631
219,81.77765488688057
220,81.77766153419829
221,81.77766383304674
222,81.77774222731487
223,83.88515134474629
224,83.88515235259642
225,81.7777014300774
226,81.77766441721657
227,81.77766375529268
228,81.77766372629088
229,81.77768150589391
230,83.8851533954374
231,83.88516066223426
232,84.98788042013182
233,92.80049184356324
234,97.98758050211998
235,90.16566357862291
236,84.98805133614268
237,84.98787223368916
238,83.88515433990597
239,83.88515396449623
240,81.77766252574183
241,81.77766190527299
242,81.77766194178687
243,81.77766203739361
244,81.77766255581764
245,81.77766842461675
246,81.77767541378326
247,81.77766898980558
248,81.7776632974708
249,81.7776612528298
250,81.77766103102716
251,81.77766086298861
252,81.77766082370611
253,81.77766074599752
254,81.77766075787127
255,81.77766174262375
256,82.81536759387969
257,85.50500627538435
258,82.8153651391879
259,81.77767109800226
260,81.77766407588493
261,81.7776629516062
262,81.77766267715161
263,81.77766252302555
264,81.77766245129956
265,81.77766246696673
266,81.7776624496695
267,81.77766250481781
268,81.77766267582355
269,81.77766427360963
270,82.81536091768305
271,86.6586460210623
272,83.88515292889345
273,83.88515289422728
274,83.88515320761162
275,83.88515334968065
276,83.88515523801722
277,84.98801554607766
278,97.98758050211998
279,97.98758050211998
280,97.98758050211998
281,97.98758050211998
282,97.98758050211998
283,97.98758050211998
284,97.98758050211998
285,97.98758050211998
286,97.98758050211998
287,87.68710256136652
288,81.77766211885903
289,81.77766200368248
290,81.77766195185973
291,81.77766188937596
292,81.77766189699
293,81.7776619099634
294,81.7776620769374
295,81.77766237160345
296,81.77766300351496
297,81.77766246589658
298,81.77766233070618
299,81.77766224197653
300,81.77766228724379
301,81.77766230149228
302,81.77766256314099
303,81.77766242705762
304,81.77766245370734
305,81.77766236142946
306,81.77766229469977
307,81.77766217713587
308,81.77766209553295
309,81.77766200259555
310,81.77766191851342
311,81.77766177238048
312,81.77766112360578
313,81.77766110457816
314,81.43314129690152
315,69.29992419890178
316,68.66768158506774
317,68.66768039543966
318,68.66771657074055
319,68.66767984272212
320,68.02743809808
321,68.02743809808
322,68.02743809808
323,68.02743809808
324,68.17290623356094
325,81.77756967592757
326,81.77766180293646
327,81.77766191926959
328,81.77766203624881
329,81.77766210149971
330,81.77766209026863
331,81.77766203352343
332,81.77766199276965
333,81.77766187312056
334,81.77766168683699
335,81.7776615577089
336,79.42463400292228
337,79.42463447832932
338,79.4246348024366
339,84.7110036647433
340,90.16079049651198
341,104.20813173195366
342,107.46636200609998
343,107.46636200609998
344,107.46636200609998
345,107.46636200609998
346,107.46636200609998
347,107.46636200609998
348,107.46636200609998
349,107.46636200609998
350,107.46636200609998
351,107.46636200609998
352,104.20815709204436
353,104.20813130786325
354,95.77879322002782
355,90.8223752092446
356,90.16087086368576
357,85.35269258002295
358,79.4246425183459
359,79.42463527660152
360,79.42463473327714
361,79.4246344921049
362,79.4246344581534
363,79.42463451442673
364,79.42463535992435
365,79.42463668077588
366,79.42464219807428
367,79.42464193148888
368,79.42463915958845
369,95.7792505572067
370,95.77926233041829
371,95.7792803406282
372,95.7792771108682
373,95.77927707978301
374,85.35267767964565
375,107.46636200609998
376,107.46636200609998
377,107.46636200609998
378,107.46636200609998
379,106.77567434414843
380,104.20811424860295
381,100.82737430083276
382,95.05750895500942
383,80.04707197484528
384,79.42463712783179
385,79.42463624043772
386,79.42463609448603
387,79.42463642593695
388,79.42463824338313
389,98.7134798741207
390,107.46636200609998
391,107.46636200609998
392,107.46636200609998
393,100.82739724994828
394,84.71100085611441
395,84.71087245123273
396,84.70988335566734
397,80.04930435195884
398,84.71100418140892
399,79.42464674824399
400,79.42464316601426
