,Price [EUR/MWh]
0,76.00132329646196
1,76.97623084156709
2,76.81374625071624
3,75.18890034220767
4,72.79225262715755
5,73.15784295657198
6,74.76237829122417
7,76.65126165986538
8,73.68591787683727
9,74.41709853566611
10,76.8746779722853
11,77.26057887555608
12,76.8746779722853
13,76.73250395529081
14,75.10765804678225
15,75.35138493305854
16,76.42784534744544
17,77.38244231869423
18,76.24505018273824
19,76.28567133045094
20,77.09809428470523
21,76.67157223372173
22,77.32151059712515
23,76.71219338143443
24,76.79343567685986
25,74.72175714351147
26,74.72175714351147
27,72.89380549643934
28,73.4828121382737
29,74.39678796180975
30,77.36213174483785
31,78.72294019321377
32,80.00250634616427
33,80.00250634616427
34,79.90095347688248
35,79.04790937491549
36,78.3776604376557
37,78.72294019321377
38,80.38840724943505
39,83.3334404586068
40,87.98456187171254
41,89.832824092641
42,89.44692318937024
43,88.45170507040874
44,86.33940538934762
45,84.00368939586657
46,82.74443381677246
47,80.04312749387698
48,78.56045560236292
49,76.24505018273824
50,75.06703689906954
51,75.24983206377674
52,76.04194444417466
53,77.70741150039593
54,80.87586102198762
55,86.4409582586294
56,96.49469231752607
57,97.06338838550408
58,95.13388386915017
59,101.79575209403524
60,102.87221250842215
61,105.14699678033412
62,106.26407834243376
63,111.26047951109756
64,115.89129035034694
65,118.20669576997162
66,110.32619311370514
67,101.87699438946066
68,90.76711049003343
69,87.51741867301632
70,82.74443381677246
71,78.45890273308113
72,78.45890273308113
73,75.79821755789838
74,73.84840246768812
75,73.70622845069362
76,73.27970639971012
77,75.61542239319117
78,80.2665438062969
79,83.21157701546866
80,87.51741867301632
81,86.98934375275104
82,86.42064768477304
83,84.61300661155728
84,82.03356373179996
85,81.74921569781097
86,81.36331479454017
87,81.93201086251817
88,83.7599625095903
89,85.28325554881707
90,84.20679513443015
91,82.13511660108173
92,80.61182356185498
93,79.41349970432992
94,78.07300182981035
95,76.50908764287088
96,75.29045321148946
97,73.46250156441735
98,72.79225262715755
99,72.40635172388677
100,72.42666229774314
101,73.07660066114656
102,73.60467558141184
103,74.88424173436232
104,78.4792133069375
105,79.9821957723079
106,80.38840724943505
107,80.57120241414226
108,81.2617619252584
109,82.03356373179996
110,82.39915406121439
111,85.03952866254077
112,89.18288572923758
113,90.42183073447535
114,89.18288572923758
115,86.21754194620948
116,84.084931691292
117,82.35853291350166
118,80.79461872656219
119,78.92604593177735
120,79.0885305226282
121,76.52939821672723
122,76.08256559188739
123,75.77790698404202
124,74.07181878010805
125,75.89977042718016
126,77.24026830169973
127,77.78865379582136
128,79.39318913047356
129,81.91170028866182
130,83.27250873703773
131,84.12555283900473
132,84.30834800371193
133,83.45530390174494
134,81.58673110696012
135,81.68828397624189
136,85.16139210567893
137,89.16257515538123
138,87.13151776974554
139,84.38959029913735
140,82.46008578278345
141,81.68828397624189
142,79.94157462459519
143,78.96666707949005
144,75.6966646886166
145,74.72175714351147
146,74.76237829122417
147,73.68591787683727
148,74.62020427422969
149,78.45890273308113
150,84.06462111743565
151,92.2904035292602
152,94.62611952274125
153,92.51381984168012
154,91.254564262586
155,89.7922029449283
156,88.9391588429613
157,86.94872260503833
158,86.07536792921498
159,85.10046038410985
160,85.1207709579662
161,84.59269603770093
162,81.18051962983297
163,80.30716495400962
164,79.71815831217528
165,78.56045560236292
166,76.69188280757808
167,74.33585624024069
168,77.78122847076254
169,77.36953019974253
170,76.31283797079115
171,76.28539141938982
172,76.86176899881785
173,78.45366898009524
174,81.50023618564337
175,83.18819909682546
176,83.72340684915149
177,83.42149478373679
178,83.42149478373679
179,83.05096633981879
180,82.59809824169677
181,82.25501634918008
182,82.35107927908476
183,82.33735600338409
184,82.96862668561478
185,82.83139392860811
186,82.24129307347941
187,81.3630034286367
188,80.9924749847187
189,80.69056291930401
190,80.05929223707332
191,79.01632328382262
192,77.16368106423252
