,Price [EUR/MWh]
0,77.91856016576787
1,76.98642587936786
2,76.38245367896786
3,75.56521587296785
4,75.25004501846784
5,76.13035511876785
6,80.09073364886785
7,85.19257697396786
8,87.62760069476785
9,87.62415418976785
10,86.19709700906785
11,83.69099661986786
12,81.71310363716786
13,81.03831749096786
14,81.08685321626785
15,81.83171169416785
16,85.16906219636785
17,88.83481678376786
18,90.37261999676787
19,90.40476719276786
20,89.57589652976786
21,87.91743693176784
22,85.22594607626785
23,82.06176739496786
24,79.60580018156786
25,78.40478630516786
26,77.86077235586785
27,77.45805178316786
28,77.13259410956785
29,77.84821943906785
30,81.07233068906787
31,86.47284566666787
32,89.08982370176786
33,88.73142085076786
34,86.52700417586786
35,83.72899262576786
36,81.92288008166786
37,81.39142013666786
38,81.49183270916785
39,82.14366157376786
40,85.06414884416786
41,89.34883392476787
42,90.80907106976785
43,90.78997944176784
44,89.82624598976786
45,88.02877091876786
46,85.17724541636785
47,81.98634122246786
48,79.57632102326785
49,78.50414796986786
50,77.98927806356785
51,77.53040141816786
52,77.25218436176786
53,77.89995177926787
54,80.66439675446786
55,86.29520051456785
56,88.92833551976786
57,88.66767377576787
58,86.62667116706785
59,84.10058366756786
60,81.96503099006787
61,81.51104621546786
62,81.59200584026786
63,82.41037740416785
64,85.45981491746785
65,89.65277599376786
66,91.42594317776786
67,91.38604984976787
68,90.29489115176787
69,88.33541546876786
70,85.68102998276787
71,82.48055325716787
72,80.17614159236787
73,79.03325364266786
74,78.50011174406787
75,77.93668401446786
76,77.61042435746786
77,78.24054761816787
78,81.21508706636786
79,86.35359836846787
80,88.65600707576787
81,88.44165325676786
82,86.31092517296786
83,83.71452536966785
84,81.85621398266785
85,81.35899220036787
86,81.42380687846786
87,82.07239657646787
88,85.00490692496786
89,89.18188849376786
90,90.80711113376786
91,90.75552048176787
92,89.76507307076788
93,87.98831887676786
94,85.47479701346786
95,82.42846257266785
96,80.05841268776786
97,78.74638491476786
98,78.19643192786786
99,77.64238534736786
100,77.28755155826786
101,77.97474621866786
102,80.96818787846786
103,86.31685028186786
104,88.62760418576784
105,88.18413343076787
106,86.32810762946785
107,83.72163836786785
108,81.60517287266786
109,81.00200618786786
110,81.04820434496786
111,81.42927779516786
112,83.72871899336786
113,87.62587478876785
114,89.25905540576785
115,88.85435559176786
116,87.66152208176787
117,86.21311374386785
118,84.41888272886786
119,82.23750229676786
120,80.17980183026785
121,78.12966401276786
122,77.24268181286786
123,76.08089258246787
124,74.96312710076785
125,74.89076534666785
126,75.57218606936786
127,77.39855886896787
128,79.09832124716786
129,79.75591920356786
130,78.79775275976786
131,77.02913797256785
132,75.97811273126786
133,75.42939377846785
134,75.51984405926785
135,75.95232708836787
136,78.14492846726786
137,81.64113652376786
138,83.51864364296787
139,83.30219852666785
140,82.54794712856786
141,81.69303204116787
142,80.73797885756785
143,79.32354525506786
144,77.86396996256786
145,76.38721236146786
146,75.10154678906785
147,73.71033600956785
148,72.56461402616786
149,72.37682483936787
150,73.07305140476787
151,73.90815486086787
152,75.00968114876787
153,75.57927952736785
154,75.35951169836785
155,74.81132966606786
156,74.05701773336786
157,73.65008184536786
158,73.93369372826785
159,74.56283379326787
160,76.81153432076786
161,80.52459293966785
162,83.46874952576786
163,84.04904343206786
164,83.71031931116786
165,82.86106964636787
166,81.66645269726786
167,80.32236753836787
168,79.03913485576251
169,78.10648678113249
170,77.50306581210467
171,76.6863519000353
172,76.3704393593201
173,77.25165596980104
174,81.20473395779615
175,86.29156375639921
176,88.71331420609931
177,88.68857013562129
178,87.23288587802479
179,84.71877941903763
180,82.7412748754648
181,82.06655412295812
182,82.11678715248486
183,82.86463468712877
184,86.21302852269103
185,89.89885365409452
186,91.45953891351678
187,91.5020301602506
188,90.67716574098728
189,89.02402879395116
190,86.33929770941042
191,83.18274822437687
192,80.73082231903074
193,79.53015629434722
194,78.98596739016631
195,78.5815958091261
196,78.25562808887952
197,78.97204357923914
198,82.1915186094828
199,87.57614705008878
200,90.17812207699107
201,89.79775954465008
202,87.56701293002591
203,84.76329638106418
204,82.95698798230929
205,82.42488788492484
206,82.52770739866891
207,83.1835471251034
208,86.11525034672381
209,90.41583165833966
210,91.89642254175756
211,91.88730524108362
212,90.92799250882639
213,89.13610264842127
214,86.29207248465856
215,83.10766613422635
216,80.70223788015052
217,79.62983080531215
218,79.11390175262078
219,78.65347992847536
220,78.37466739940494
221,79.02278621242141
222,81.78454834185
223,87.39790529380414
224,90.01554036942015
225,89.73334631140536
226,87.66661013998124
227,85.13242271080436
228,82.99722824029783
229,82.54294583597728
230,82.62625623811688
231,83.44766468084036
232,86.50920160203401
233,90.72012318939278
234,92.51363364168867
235,92.48153469019113
236,91.39536783741649
237,89.44185158976885
238,86.79454184784925
239,83.60155054272496
240,81.30029283418307
241,80.15624885214045
242,79.62208823017369
243,79.05816099775805
244,78.7304914001297
245,79.36160796128361
246,82.33302430826923
247,87.45638783898595
248,89.74278315435792
249,89.50609012424788
250,87.35029475151136
251,84.74711784503369
252,82.88807310003708
253,82.39099155848155
254,82.45806348372336
255,83.11090669160266
256,86.05495083098593
257,90.24886850053751
258,91.89550928716062
259,91.85473982335307
260,90.86923310134428
261,89.09732782566827
262,86.59017771304711
263,83.55154329928551
264,81.18599561774045
265,79.87475592700252
266,79.3242239296063
267,78.76881985775792
268,78.41332867711095
269,79.10097314355417
270,82.09014302968244
271,87.42256693697155
272,89.71868699359128
273,89.25170118206364
274,87.36911191234704
275,84.75400386994008
276,82.63649717922719
277,82.03132371979719
278,82.07833924135514
279,82.46313858012928
280,84.77920484321963
281,88.69485806756713
282,90.34873031997097
283,89.95242870071128
284,88.76462900171025
285,87.32057977216691
286,85.53102015710047
287,83.35475993327451
288,81.30138554259815
289,79.2538114019288
290,78.36588038677226
291,77.20179452482273
292,76.079440144644
293,76.0054696124287
294,76.68072144519357
295,78.48977116285423
296,80.16565322463084
297,80.79312017240551
298,79.80705211723865
299,78.0260714072255
300,76.97075327642769
301,76.41997502359835
302,76.51232994360099
303,76.95124109724686
304,79.16496892296914
305,82.6906636570429
306,84.60445456506183
