,Price [EUR/MWh]
0,75.21012207060188
1,73.64818719018348
2,72.63613853971361
3,71.26673044754064
4,70.73861303128719
5,72.21370848835224
6,78.8499340366193
7,87.39886004456572
8,91.47911815721672
9,91.47334300608925
10,89.08208842034132
11,84.88273037844445
12,81.56846537984079
13,80.43775703239498
14,80.51908613207361
15,81.76721148759576
16,87.35945740497331
17,93.50199505931386
18,96.07882171685564
19,96.13268930597091
20,94.7437885662553
21,91.9647835112162
22,87.45477512629918
23,82.15270532551303
24,78.03735315818878
25,76.02486902067186
26,75.11328967503107
27,74.43846919182411
28,73.89311462230287
29,75.09225532527375
30,80.4947513960635
31,89.54414786050782
32,93.92929851310109
33,93.32873921345305
34,89.63489880253962
35,84.94639855136514
36,81.91997819353648
37,81.02943501992713
38,81.19769178476089
39,82.28993166321695
40,87.1836588890152
41,94.36331012236299
42,96.81016285993017
43,96.77817189024671
44,95.16328773024179
45,92.15134079186612
46,87.37316965323909
47,82.02631713076138
48,77.9879562780762
49,76.19136482726937
50,75.32862082432788
51,74.55970217310248
52,74.09350654972637
53,75.17894084664444
54,79.81119512026244
55,89.2464759869907
56,93.65870013696443
57,93.22192114933947
58,89.80190623081786
59,85.56905670041789
60,81.99060854694358
61,81.22988698034908
62,81.36554732856897
63,82.73685520710937
64,87.84665846955018
65,94.87261197524423
66,97.84382729680401
67,97.77697986783558
68,95.94857503889146
69,92.66517106881581
70,88.21733845805329
71,82.85444568110336
72,78.9930482294602
73,77.07796305440391
74,76.18460150791265
75,75.24049137668253
76,74.69379296018103
77,75.74966174884176
78,80.73396174199787
79,89.34433060544946
80,93.20237179262634
81,92.84318888139573
82,89.2728250793865
83,84.92215643061469
84,81.80826885413252
85,80.97509700710437
86,81.08370400500641
87,82.17051615982884
88,87.08438990885702
89,94.0835672831499
90,96.80687868462792
91,96.72043058370727
92,95.06078306185098
93,92.083557151348
94,87.87176328402336
95,82.76715969854429
96,78.79577527725674
97,76.59727021996399
98,75.67573910007897
99,74.7473485322331
100,74.15276974671626
101,75.30427047507318
102,80.32024404149641
103,89.28275351394385
104,93.15477836618234
105,92.41167466236394
106,89.30161693752343
107,84.93407535705589
108,81.3876107238085
109,80.3769118390652
110,80.45432398239943
111,81.0928713704239
112,84.94594003804121
113,91.47622613530412
114,94.21287235563307
115,93.53473534811377
116,91.53595867721528
117,89.10892693182998
118,86.1024159100324
119,82.44717627978766
120,78.99918152305325
121,75.5638591520832
122,74.07758356223803
123,72.13082637378128
124,70.25783777174446
125,70.13658448304336
126,71.27841008752317
127,74.33877963080003
128,77.1869938695307
129,78.28890075181039
130,76.68334497336383
131,73.719757895347
132,71.95860286807428
133,71.0391395628084
134,71.19070297012688
135,71.91539504314265
136,75.58943710180779
137,81.44787337254897
138,84.59392636137116
139,84.23123915870332
140,82.96737451550193
141,81.53483232250615
142,79.9344932920852
143,77.56439146017752
144,75.11864775863712
145,72.64411244678905
146,70.48978132585125
147,68.15859291853772
148,66.23875888255778
149,65.92408911307515
150,67.0907241924177
151,68.49006893906166
152,70.33584626521669
153,71.29029627134308
154,70.92204135065496
155,70.0034777385655
156,68.7395116602977
157,68.05762776563266
158,68.53286325355093
159,69.58708454605097
160,73.35512938761825
161,79.57693224855218
162,84.51032106638374
163,85.48269308012519
164,84.91510853035386
165,83.4920596274348
166,81.49029452903393
167,79.23807237331147
168,77.03659849556492
169,75.63331396590482
170,74.72539238889928
171,73.49654516437708
172,73.02121562350271
173,74.34711514595433
174,80.29501053757244
175,87.9487759347994
176,91.59259940176972
177,91.55536888337035
178,89.36511164237913
179,85.5823271218463
180,82.60692663712528
181,81.59172570593928
182,81.66730751984136
183,82.79253675094934
184,87.83060994969335
185,93.3763903213332
186,95.7246345731477
187,95.78856791607687
188,94.54745724410292
189,92.0601079788342
190,88.02059757859226
191,83.27117796368414
192,79.58195178669344
193,77.77540105919073
194,76.95660145918872
195,76.34817433716516
196,75.85771553342825
197,76.93565136129058
198,81.77975025181802
199,89.88159058603797
200,93.7965842488538
201,93.22428171393656
202,89.86784717121203
203,85.64930840430286
204,82.93149372080245
205,82.13088322773258
206,82.28558791957626
207,83.272380008765
208,87.68349057486637
209,94.1542477525186
210,96.38198009655457
211,96.36826198858223
212,94.92485717930667
213,92.22873697237996
214,87.94954137946775
215,83.15820766070615
216,79.53894295843253
217,77.92537370486849
218,77.14909455120038
219,76.45633289702828
220,76.03682491822806
221,77.01199993700293
222,81.16741308398836
223,89.61340378982027
224,93.55195993530391
225,93.1273640274302
226,90.0177035079477
227,86.20470468088881
228,82.99204017239649
229,82.30851603567135
230,82.43386685305087
231,83.66977758032417
232,88.27623902635086
233,94.61209204518265
234,97.31065063330698
235,97.26235378556764
236,95.62808124205448
237,92.68877411932118
238,88.70556876340176
239,83.90131791712453
240,80.43879070133747
241,78.71743484919786
242,77.91372404171354
243,77.06522568244036
244,76.57220619341797
245,77.52179921866586
246,81.99266310004809
247,89.70139802166521
248,93.14156292633366
249,92.78542894989934
250,89.54176783273677
251,85.62496579325617
252,82.82780274583925
253,82.0798820067961
254,82.18080002467084
255,83.16308348059727
256,87.59276248580173
257,93.90303100448654
258,96.38060599191381
259,96.31926328462694
260,94.83644637384351
261,92.17039544958081
262,88.3980776136463
263,83.82607582635269
264,80.26681638435754
265,78.29389388256745
266,77.46555031327902
267,76.6298761046079
268,76.09499559844231
269,77.12964185774965
270,81.62721813741292
271,89.65051028612281
272,93.10530726833383
273,92.40266928224511
274,89.57008058157649
275,85.63532667050971
276,82.44927561721408
277,81.53871720136584
278,81.60945787606498
279,82.18843613572571
280,85.67324465575788
281,91.56482985569546
282,94.05328547895192
283,93.45700061383069
284,91.66980886671394
285,89.49705796633859
286,86.80444390210712
287,83.52999088206407
288,80.44043481647161
289,77.35960594533155
290,76.02360376951744
291,74.27209242702328
292,72.58337126698032
293,72.47207344057392
294,73.48807344777862
295,76.21001278506421
296,78.73158489226975
297,79.67568662221169
298,78.19202511617515
299,75.51231907702856
300,73.92446225610941
