name,ov_hours,max_voltage,min_voltage
MV1,0,1.0,1.0
MV2,0,0.9999487825616331,0.9987762685082027
MV3,0,0.9999148814724176,0.9980258285600176
MV4,0,0.9998258240691138,0.9967866883620121
MV5,0,0.9998042127105443,0.9964808259749189
MV6,0,0.9998212956999709,0.9967557334797059
MV7,0,0.9996291730059189,0.9943506419177267
MV8,0,0.9998042024212567,0.9964807449198282
MV9,0,0.9995340893065155,0.9931785419349785
MV10,0,0.9996291725443603,0.9943506386390423
MV11,0,0.9996291726546735,0.9943506388103597
MV12,0,0.9992500293798421,0.9896832944503051
MV13,0,0.9995326963075993,0.9931642073914522
MV14,0,0.9995316980427662,0.99315405735854
MV15,0,0.9995340889836929,0.993178539994786
MV16,0,0.9992479954178494,0.9896611099461815
MV17,0,0.9992479611578532,0.9896608316041
MV18,0,0.9992397848004867,0.9895504443896846
MV19,0,0.9992355604321831,0.9894598481673518
MV20,0,0.9992355599540372,0.98945984410034
MV21,0,0.9992365586212746,0.9894459603679727
MV22,0,0.9992365614901922,0.9894459443452243
MV23,0,0.9992359760589097,0.9894409194674942
MV24,0,0.9992342373988506,0.9894276925667338
MV25,0,0.9992342372727198,0.9894276916779907
MV26,0,0.9990301360186967,0.9869829861458579
MV27,0,0.999029503319642,0.9869705275829682
MV28,0,0.9990295020810742,0.986970510472124
MV29,0,0.9990295013971625,0.9869705006571694
MV30,0,0.9990281839613235,0.9869578924322226
MV31,0,0.9990274417197601,0.9869508339328888
MV32,0,0.9990267778046132,0.986938401018687
MV33,0,0.998833583939536,0.9845868542263677
MV34,0,0.998829964917734,0.9845191949500031
MV35,0,0.9988312766677695,0.9845204879054793
MV36,0,0.9988312766677695,0.9845204879054793
MV37,0,0.9986927408846479,0.9828945105453478
MV38,0,0.9986901011740719,0.9828781849853723
MV39,0,0.998690096333678,0.9828781552638627
MV40,0,0.9984039503408364,0.9793898543792893
MV41,0,0.9984025261921982,0.9793730093715716
MV42,0,0.9980579419716232,0.9752716793221445
MV43,0,0.9980573265990095,0.9752656900594603
MV44,0,0.9979284436220274,0.9737032388324466
MV45,0,0.9979065407947457,0.973434428228267
MV46,0,0.9977691672955082,0.9715436309390967
MV47,0,0.997555116613275,0.9684594593938476
MV48,0,0.9975361924588356,0.9682296465088307
MV49,0,0.9975496226355459,0.9682711224780058
MV50,0,0.9975455495600523,0.9682414523770454
MV51,0,0.9975455491933419,0.9682414500554104
MV52,0,0.9975496237789855,0.9682711058679854
MV53,0,0.997533278885042,0.9680584845020678
MV54,0,0.9975363182121306,0.9680284684802001
MV55,0,0.9975376427579998,0.9680021537574355
MV56,0,0.9975376437749636,0.9680021489399016
MV57,0,0.9975396700945507,0.9679948620522592
MV58,0,0.9975407019704525,0.9679838902697891
MV59,0,0.997540000959873,0.9679770305514482
MV60,0,0.9975414505049944,0.9679784371361905
MV61,0,0.9975415943681534,0.9679785767355503
MV62,0,0.9975415943681534,0.9679785767355503
MV63,0,0.9974784628485597,0.9678794413482871
MV64,0,0.9974783925231807,0.9678789815412566
MV65,0,0.9974746390298144,0.9678432345717487
MV66,0,0.9974746388626796,0.967843233093684
MV67,0,0.9974773116922291,0.967453089444906
MV68,0,0.9974009878766754,0.9664374613886012
MV69,0,0.9973019056105141,0.965115233029214
MV70,0,0.9972525769944314,0.9644397491967125
MV71,0,0.9972221043243602,0.9640150643159426
MV72,0,0.9971808511040623,0.9633839083691975
MV73,0,0.9971803912144112,0.9633760790838001
MV74,0,0.9971799922780666,0.963367917496888
MV75,0,0.997149218124448,0.9629334233172318
MV76,0,0.9971492125357753,0.9629332616138391
MV77,0,0.9971492126054826,0.9629332338126602
MV78,0,0.997149212694103,0.9629331984685264
MV79,0,0.997120071343706,0.9625418730571002
MV80,0,0.9971199485243171,0.962539873119203
MV81,0,0.9971197955801056,0.9625373368669835
MV82,0,0.997116689359601,0.9624870965082132
MV83,0,0.9970984249705834,0.9622522117297584
MV84,0,0.9970984247096297,0.9622522104135229
MV85,0,0.997085820086911,0.962077174346176
MV86,0,0.9970731298154502,0.9619343054843835
MV87,0,0.997073242169352,0.9619344138787077
MV88,0,0.9970732431205985,0.9619344147964304
MV89,0,0.997072642444251,0.9619310071718332
MV90,0,0.9970723100206453,0.9619292206371104
MV91,0,0.9970724913256275,0.9619260236785291
MV92,0,0.9970731291135572,0.9619342947881404
MV93,0,0.997073128732347,0.9619342860893357
MV94,0,0.9970692193440884,0.9618892096486966
MV95,0,0.9970683515076797,0.9618828733914465
MV96,0,0.9970585911550889,0.9618159507683142
MV97,0,0.9970808328430949,0.9620075660414356
MV98,0,0.9970803832220207,0.9620026380399556
MV99,0,0.9970803827507052,0.9620026332864504
MV100,0,0.9971144286945101,0.9624298793698461
MV101,0,0.9971144282723317,0.9624298698992185
MV102,0,0.9971492105166061,0.962933234318872
MV103,0,0.9971464152707958,0.9628986255134694
MV104,0,0.9971426148787875,0.9628654642801606
MV105,0,0.9971426129279788,0.9628654476674007
MV106,0,0.9972192160656297,0.963993962300183
MV107,0,0.9971737680147252,0.9633396466368036
MV108,0,0.9971737002014444,0.9633392263068474
MV109,0,0.998045948854611,0.9751468904984101
MV110,0,0.9980362452113911,0.9750282372657052
MV111,0,0.9980361673680009,0.9750272895290837
MV112,0,0.9980553275076591,0.9752420588536358
MV113,0,0.9980553275008266,0.9752420588055921
MV114,0,0.9980467072138022,0.9751534046172131
MV115,0,0.998055442378105,0.9752532871911733
MV116,0,0.9978925295797046,0.9733423056855862
MV117,0,0.9975400002066301,0.9679770252618599
MV118,0,0.9980554420549744,0.9752532851511163
MV119,0,0.9978857141060528,0.9732820645201867
MV120,0,0.9978719126798565,0.9731808502060286
MV121,0,0.9978837367826535,0.9732623638739356
MV122,0,0.9978857732989774,0.9732821222536625
MV123,0,0.9978857738008121,0.9732821227431242
MV124,0,0.9978925282051259,0.9733423001618241
