,active_line_losses_mw,reactive_line_losses_mvar,apparent_line_losses_mva
5433,0.00716900536727556,-0.450523549904989,0.4531381841866791
5434,0.008026524646609698,-0.4496711702207487,0.45295288924726224
5435,0.006963973679904258,-0.4507756372550971,0.4532012935945859
5436,0.006691183644461344,-0.4510532767691944,0.4532554640572457
5437,0.00692673461328273,-0.45080404795572965,0.45326611700618424
5438,0.008644171624001684,-0.44901640586517516,0.45289027545666843
5439,0.008414325364455494,-0.4492163868022729,0.45297443718734615
5440,0.008343591208603297,-0.44928849679015775,0.4529774762386834
5441,0.009386728660433774,-0.448229627815148,0.45294794616720174
5442,0.008649390626395501,-0.4489676485905949,0.45294187072871955
5443,0.00988776600460127,-0.4477326929120046,0.4529668143808331
5444,0.009748984540200543,-0.4478694351613767,0.45287220838040737
5445,0.008515901515083982,-0.4491204127546622,0.45296961607254316
5446,0.006363885311730437,-0.4513612912913407,0.453451976457879
5447,0.004634517144107329,-0.4532769741470071,0.4543578926050538
5448,0.003530954825897554,-0.454592809410998,0.4552059040896737
5449,0.0033595468377392588,-0.4548103330996823,0.4553304788669652
5450,0.0029133342010849283,-0.4553778056085988,0.4557653349223471
5451,0.0027309572659823143,-0.4556147467512314,0.4559551131030366
5452,0.0026739178174167468,-0.45568822555227523,0.4560122760565017
5453,0.0038866664537339736,-0.45415770687965573,0.45488354515036566
5454,0.006008783398452514,-0.4517543979487001,0.45357245216996334
5455,0.006421774230719495,-0.4513220796870734,0.45338342031467
5456,0.006741051075039825,-0.45098701140779524,0.4532928942765873
5457,0.006355972907343208,-0.45138317376961884,0.45342732868180796
5458,0.007580919257544837,-0.4501230770650432,0.453015423758233
5459,0.006359666774933384,-0.451367886129731,0.4534392991061076
5460,0.006664695112787955,-0.45104698836462453,0.45327992889400626
5461,0.007403656899663506,-0.4502878008272651,0.45304582375709684
5462,0.008154399719635894,-0.44948454931630094,0.4529316018371677
5463,0.00867197618730125,-0.44893791608259026,0.4528143433116983
5464,0.009066763787571182,-0.44853826487163884,0.45288675803472167
5465,0.008847732098058336,-0.44875018284898816,0.4529530726376908
5466,0.00931611734734175,-0.44827847227056733,0.4529996844267795
5467,0.00789610473769774,-0.44970812892641854,0.45303724558911823
5468,0.008657780090501126,-0.4489445377068658,0.4528557101768677
5469,0.007488336329939025,-0.45014527364939344,0.4531092877651067
5470,0.005781196446222777,-0.4519906701043786,0.45368702735621097
5471,0.004020104436679298,-0.4539963072456979,0.45478023784505217
5472,0.0030229234026273137,-0.45522794353035245,0.45564498744037846
5473,0.002803076366295427,-0.45550697713954613,0.455863864314789
5474,0.002705207447697617,-0.45563773128885193,0.4559703362242381
5475,0.0026107923254154687,-0.45576374496413735,0.45607250822365714
5476,0.003093887718280143,-0.45514054710419866,0.4555803386705272
5477,0.003752212435343772,-0.45431564226422605,0.45498421100257674
5478,0.006116861060516342,-0.45162365777915375,0.45348227407594316
5479,0.007786424837319352,-0.44989386054714786,0.45294529581060833
5480,0.008503762240829533,-0.44916217290946775,0.4529103650796678
5481,0.007468928580463725,-0.4502030729211406,0.4531014373155722
5482,0.00717623556118964,-0.450504625019881,0.4531765930542492
5483,0.007458428106953177,-0.4502142693343986,0.4530962926819479
5484,0.006431054757294686,-0.4512873260637655,0.4533828974194565
5485,0.0065689779400307305,-0.45113207170989084,0.4533660758878432
5486,0.007644700858736661,-0.4500218183131411,0.4529911836751535
5487,0.008204692113349996,-0.4494471296951659,0.45289324933415626
5488,0.008286245399648319,-0.4493247939629567,0.45290213727219053
5489,0.008795000897275732,-0.4488449665769018,0.45287291163920107
5490,0.007885643589861286,-0.4497383026976943,0.4530509804995774
5491,0.007735390490198473,-0.449884892951312,0.45308110282688274
5492,0.007292485094263487,-0.45034769983996314,0.4531995400476503
5493,0.006152956303736103,-0.45155093764210247,0.45356256165591013
5494,0.00581922122904263,-0.45192560999750003,0.45372696959031533
5495,0.0045423739274425825,-0.4533791508133414,0.4544035370043923
5496,0.0036280526030685063,-0.4544640699441236,0.45510112404057507
5497,0.0028455359988206726,-0.4554566816443762,0.455825759202752
5498,0.003292753359045895,-0.45488269195415043,0.4553932634542418
5499,0.0030351846256652087,-0.4552136031092207,0.45563870253468786
5500,0.002663434347115904,-0.4557070243366661,0.4560302071675648
5501,0.0028958622405366604,-0.45539075290194697,0.4557749539248431
5502,0.003739460896537509,-0.4543419519927607,0.4549925885529237
5503,0.005296973970886379,-0.4525460388493255,0.4539083583351607
5504,0.006514179326096647,-0.4511943855969213,0.45343086941181765
5505,0.009031211500201365,-0.4485878262724016,0.45289185135342
5506,0.01004100109087651,-0.4475725446801261,0.45277876430740843
5507,0.011063288416074263,-0.4465817956762267,0.45299197169378624
5508,0.010555707223354381,-0.44706620791228135,0.4530150789893164
5509,0.008646891304845559,-0.448935000339864,0.45300099870910315
5510,0.008258897112490612,-0.44934214254244487,0.45298006220369486
5511,0.008433769049842952,-0.4491717227137963,0.4529548586575965
5512,0.00961736489866962,-0.4479588135544066,0.4529778865169682
5513,0.010155986688414446,-0.4474339226738618,0.45292911933528546
5514,0.011017385699176842,-0.4465621190158436,0.45301623292026144
5515,0.00926232498884582,-0.4483018573362926,0.4530466091416911
5516,0.008235633525317617,-0.4493510005240866,0.45312895211328114
5517,0.007722173468352868,-0.44989107708459336,0.4531200113169749
5518,0.006677817000689749,-0.4510067427770306,0.45338242371430515
5519,0.0047509456972631035,-0.45312246128972294,0.4542745326350195
5520,0.00419126214971937,-0.45377373723505743,0.4546442001235534
5521,0.003846833404820093,-0.45419087774291683,0.45490835056871093
5522,0.003531130202028982,-0.4545763887208962,0.45515696982357634
5523,0.0035350197930272926,-0.4545830195273628,0.4551582591570229
5524,0.003124479303876517,-0.45508934186316546,0.45553702128951823
5525,0.003355619155922505,-0.4548091322379327,0.4553397481874699
5526,0.003998372891700033,-0.4540507287758334,0.4547738902315357
5527,0.005252003113883372,-0.45259879741966696,0.45392394627235666
5528,0.007294650031939022,-0.45038989394808154,0.45310195530984887
5529,0.008833643904734303,-0.44883189311628463,0.45284824128433243
5530,0.009249769516983714,-0.4483821782586927,0.45285118017519443
5531,0.00921793880034027,-0.4484135947328149,0.452904274864647
5532,0.00813726578998999,-0.4495166933873178,0.4529862261969865
5533,0.007641226011689515,-0.45001776885488,0.4530569297976514
5534,0.007662569290777193,-0.4499877104908203,0.45306730314122395
