,peak_monthly_total_volume
0,155.51570662240022
1,177.02407735096926
2,141.5807664517607
3,119.54947317544882
4,120.11009600528446
5,106.82171284544934
6,90.12231461223925
7,104.42956403640308
8,146.8552135340395
9,113.96853710274756
10,94.02919597535586
11,113.28068052447537
