,stes_temperature
0,37.47499999028727
1,37.47680445094449
2,37.47845118734727
3,37.4803883335274
4,37.48256824147886
5,37.48469293832213
6,37.48762069117679
7,37.49049376020939
8,37.4934643578402
9,37.4971568548219
10,37.50067512355041
11,37.502539735148616
12,37.504227274461854
13,37.50482506440268
14,37.50579703153578
15,37.50836758720622
16,37.51120701798023
17,37.51267296300217
18,37.51377878722194
19,37.51533200389862
20,37.51729358776737
21,37.51899547031941
22,37.52150384874267
23,37.524487060720546
24,37.52763000977262
25,37.53087611289426
26,37.53443307806471
27,37.537732512074555
28,37.54136514931129
29,37.54370120910346
30,37.5464189565948
31,37.54946870271257
32,37.553739608323454
33,37.55704011279974
34,37.559574584964295
35,37.561788158414906
36,37.563802098318725
37,37.56543611564298
38,37.56821655816829
39,37.570601402169615
40,37.5727412967288
41,37.57511190311111
42,37.57660131849646
43,37.57791635458549
44,37.57984006700832
45,37.58221775293369
46,37.5851105399358
47,37.586762143156406
48,37.5898944599825
49,37.593163171432295
50,37.59550864741675
51,37.598358146445726
52,37.601634094770404
53,37.603761742591395
54,37.60585631919754
55,37.60839955762055
56,37.6116125741455
57,37.61444352546388
58,37.61633886081894
59,37.61791232969489
60,37.619346841110925
61,37.621409717145944
62,37.623567457071594
63,37.624538126416994
64,37.62342977128558
65,37.62102643321357
66,37.61659298055869
67,37.61427230190506
68,37.610273064015374
69,37.608367163292485
70,37.6065326513674
71,37.60446360324611
72,37.60381625934579
73,37.603976391122735
74,37.60462389951974
75,37.60530591914638
76,37.60592207976232
77,37.605686612758916
78,37.60616113657844
79,37.605364737581155
80,37.60341736567938
81,37.601239075095954
82,37.599490415634484
83,37.59712843294621
84,37.594113749852966
85,37.5920685562628
86,37.59067317376563
87,37.58941389021429
88,37.588404695946814
89,37.58585090301058
90,37.582714855036954
91,37.57920314368738
92,37.577836355445875
93,37.576266778160914
94,37.57494463867363
95,37.57380371138764
96,37.57216311703395
97,37.57107247822542
98,37.57004278011387
99,37.56939870250875
100,37.56902719430249
101,37.5678335106529
102,37.56749306043801
103,37.56447997801152
104,37.56149931699329
105,37.55699251831305
106,37.551833309704634
107,37.54722270706536
108,37.54452515963578
109,37.54133911232907
110,37.53870126257483
111,37.53677028508658
112,37.534405478439965
113,37.5307377583235
114,37.52695301139792
115,37.52349483247201
116,37.51876532005497
117,37.51435710735416
118,37.5105584504437
119,37.505367224189854
120,37.50098136826507
121,37.49735753301472
122,37.49388873210238
123,37.4902298742454
124,37.48721760317369
125,37.48306816221606
126,37.479419228970876
127,37.474269827575526
128,37.46929423984472
129,37.46293621995156
130,37.457046911528245
131,37.450343856513356
132,37.44304966868146
133,37.437136935097335
134,37.430861267012205
135,37.425584274802546
136,37.421655864734454
137,37.41708780742621
138,37.41043278466694
139,37.40383667701923
140,37.4003507798518
141,37.39648856341394
142,37.39243196418853
143,37.38869716713908
144,37.3828600823288
145,37.378778324757796
146,37.376725039353886
147,37.374547848658665
148,37.37236459778096
149,37.36986357895694
150,37.36802511010904
151,37.36445065776061
152,37.35031869107642
153,37.346223812108406
154,37.34168200521481
155,37.32759213625363
156,37.3135283185223
157,37.30756080147596
158,37.30304819527652
159,37.29916703359474
160,37.285155771986176
161,37.271170416267694
