,el_demand
0,40.060065304478904
1,29.509048863610282
2,29.282049938093923
3,24.903232565201005
4,25.544108737012056
5,27.894782502229056
6,36.7376073310276
7,41.253245935786374
8,47.47817392343778
9,45.91357747159299
10,52.56949524246393
11,52.547974952774894
12,54.59668763165209
13,61.04952848546617
14,60.09661772412331
15,61.27294928319056
16,70.82459095527103
17,78.90193897143027
18,90.22601244075223
19,87.34398159590742
20,82.98212201673286
21,75.80163181716026
22,68.49560236680219
23,52.827111134398855
24,39.15480757327861
25,32.9144176840101
26,27.325928127094475
27,24.798187050660655
28,23.21216151689054
29,24.874731006924584
30,23.137014520368623
31,32.477450308956975
32,45.21863578713985
33,60.03978238173042
34,71.83748257016933
35,75.43780277499751
36,74.47978444452366
37,72.55339916193816
38,71.28884759520757
39,68.2108785795437
40,74.96191312133045
41,78.13443674150594
42,79.35361867978378
43,84.63598055234169
44,87.79199151163012
45,77.15464276776514
46,67.36287423754919
47,54.83122444610635
48,45.01550699997501
49,35.60401717300438
50,29.336808504410783
51,25.613382771605234
52,25.275687130093388
53,26.337113394096974
54,24.356594450804437
55,32.34089741240488
56,43.98406314261179
57,58.11728661669687
58,71.99204943095192
59,72.64825452449232
60,70.77717682976687
61,69.78347907939096
62,68.94613919517762
63,64.33255770229076
64,71.8984633601407
65,87.61682230520493
66,82.45055984274292
67,84.22442751187809
68,88.9197867284315
69,82.77364175392684
70,77.26394348856071
71,61.465677984006945
72,41.518216285616326
73,30.152075538534604
74,27.076264964186983
75,25.4592410538773
76,26.1537499873492
77,31.184608152230346
78,38.686819037061014
79,50.051713264732385
80,65.34078058962956
81,62.61003939035194
82,63.54733519703701
83,61.90660586345075
84,62.06504894672838
85,55.78888436365635
86,61.36639854599466
87,70.7051365737706
88,74.36448617001793
89,88.98441604167809
90,92.66997449292951
91,90.38683981186544
92,87.50513735305562
93,92.42759336124465
94,80.97288876487691
95,60.62203625282586
96,44.40339922028986
97,33.257623181510525
98,29.905622569150253
99,26.444465214368027
100,26.715465873894477
101,32.14214493565691
102,41.19282164834496
103,52.323580379916315
104,64.73795351842114
105,63.79146353046124
106,63.88284576268502
107,64.37856405170007
108,56.96244476776984
109,55.2244912108183
110,57.004267021151094
111,66.86776070200466
112,79.08400680018573
113,90.39766340215502
114,91.42046000570744
115,86.37993856778577
116,89.77819703461186
117,86.04634863563022
118,75.07005278097753
119,61.023658502355964
120,41.23641657662134
121,28.546518011190447
122,25.24384047177144
123,24.671940587996005
124,25.350812895301523
125,30.05034618232114
126,39.777579601553605
127,50.19500392235805
128,59.49777420135821
129,61.73821638540323
130,60.385137839401715
131,58.33829658741981
132,60.45089582220717
133,60.566366342292106
134,63.57729638817688
135,69.98762886817036
136,80.35278708562879
137,91.80531419076223
138,91.3028943481334
139,88.59876954552071
140,89.61723395476619
141,80.66137943627147
142,78.12854437419233
143,59.95106530007522
144,43.94936736144944
145,29.849190100324073
146,26.39018173041419
147,24.539986333339662
148,25.142538402637925
149,30.414653313012703
150,40.88054033306449
151,50.19578280541791
152,62.455156825943796
153,60.71045403051534
154,62.055281170230856
155,67.69020972116539
156,67.39237967302884
