,objective_terms
pv_investment_cost,18525.641336658355
power_market_cost,40352.72367702415
volume_tax_cost,7470.67713450949
grid_volume_tariff,14537.244432131218
capacity_tariff,16494.28861391606
stes_investment_cost,68577.0
hp_investment_cost,6694.02591058064
