,0,1,2,3,4
0,2.62038507720543,2.714314737767108,1.7765481249853843,3.803965743451972,1.8562608572101054
1,3.4073500090887494,2.9182634562658025,2.4134273170923795,3.5667968585682246,1.9505254595545078
2,3.6447982805294177,3.6447982805294177,3.0063411583072432,3.3388288089240374,2.6352143608159304
3,4.529861605390479,4.529861605390479,2.837566774431828,4.172828826336539,2.2110923029792615
4,2.8420353057320797,2.8420877660355632,3.098369107237632,2.894517020908097,2.453486913324668
5,3.5310064486710315,3.5310922928040043,3.631238473850637,2.1420604880439473,2.612812166099724
6,3.2268614872209,3.2268614872209,3.697147560593767,2.2020276065607267,2.914527882456024
7,3.088070160462442,3.0881321590029223,3.9285353284057947,2.951438392321139,2.7097269291921484
8,3.46151577602633,3.46151577602633,3.212554352626733,3.4972317708092104,2.090230533011073
9,4.46070192490775,4.460784589628389,2.9755483646766656,3.7463020845937978,2.2530040293349742
10,1.6067015912717744,1.606925739841203,1.6567833519698263,2.736920001274933,1.387990318945542
11,1.788617341795557,1.788617341795557,1.8539624003853437,2.521452952562467,1.2986972316214915
